Suburb/Town Name,Region,Local Government Area,Postcode
Dandenong,Other,Greater Dandenong,3175
Dandenong North,Other,Greater Dandenong,3175
Dandenong South,,,
Darley,Other,Moorabool,3340
Daylesford,Other,Hepburn,3460
Deepdene,Metro Inner East,Boroondara,3103
Deer Park,Metro Inner West,Brimbank,3023
Delacombe,Other,Ballarat,3356
Delahey,Metro Inner West,Brimbank,3037
Derrimut,Metro Inner West,Brimbank,3026
Diamond Creek,,,
Diggers Rest,,,
Dingley Village,Metro Outer South,Kingston,3172
Docklands,Metro Inner,Melbourne,3008
Doncaster,Metro Inner East,Manningham,3108
Doncaster East,Metro Inner East,Manningham,3109
Donnybrook,Metro Outer North,Whittlesea,3064
Donvale,Metro Inner East,Manningham,3111
Doreen,Metro Outer North,Whittlesea,3754
Doveton,Metro Outer South,Casey,3177
Dromana,Metro Outer South,Mornington Peninsula,3936
Drouin,Other,Baw Baw,3818
Drysdale,Other,Greater Geelong,3222
Eaglehawk,Other,Greater Bendigo,3556
Eaglemont,,,
East Bairnsdale,,,
East Bendigo,Other,Greater Bendigo,3550
East Geelong,Other,Greater Geelong,3219
East Melbourne,Metro Inner,Melbourne,3002
Eastwood,Other,East Gippsland,3875
Echuca,Other,Campaspe,3564
Edithvale,Metro Outer South,Kingston,3196
Echuca Village,Other,Campaspe,3564
Edenhope,Other,West Wimmera,3318
Edithvale,Metro Outer South,Kingston,3196
Elliminyt,Other,Colac-Otway,3250
Elsternwick,Metro Inner South,Glen Eira,3185
Eltham,Metro Outer North,Nillumbik,3095
Eltham North,,,
Elwood,Metro Inner,Port Phillip,3184
Emerald,Metro Outer South,Cardinia,3782
Endeavour Hills,Metro Outer South,Casey,3802
Epping,Metro Outer North,Whittlesea,3076
Epsom,Other,Greater Bendigo,3551
Essendon,Metro Inner West,Moonee Valley,3040
Essendon Fields,,,
Essendon North,Metro Inner West,Moonee Valley,3041
Eumemmerring,Metro Outer South,Casey,3177
Euroa,,,
Fairfield,Metro Inner,Yarra,3078
Fawkner,Metro Inner North,Merri-bek,3060
Ferntree Gully,Metro Inner East,Knox,3156
Fingal,Metro Outer South,Mornington Peninsula,3939
Fitzroy,Metro Inner,Yarra,3065
Fitzroy North,Metro Inner,Yarra,3068
Flemington,Metro Inner,Melbourne,3031
Flinders,Metro Outer South,Mornington Peninsula,3929
Flora Hill,,,
Footscray,Metro Inner West,Maribyrnong,3011
Forest Hill,Metro Inner East,Whitehorse,3131
Foster,Other,South Gippsland,3960
Frankston,Other,Frankston,3199
Frankston North,Other,Frankston,3200
Frankston South,Other,Frankston,3199
Fraser Rise,Metro Outer West,Melton,3336
Freeburgh,Other,Alpine,3741
Gardenvale,Metro Inner South,Glen Eira,3185
Gateway Island,Other,Wodonga,3691
Geelong,Other,Greater Geelong,3220
Geelong West,Other,Greater Geelong,3218
Gembrook,Metro Outer South,Cardinia,3783
