Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Metro Outer South,Mentone,E Justice procedures offences,E10 Justice procedures,9
Metro Inner South,Black Rock,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Metro Inner,Fairfield,D Public order and security offences,D10 Weapons and explosives offences,9
Metro Inner West,Sydenham,C Drug offences,C30 Drug use and possession,9
,Drumcondra,B Property and deception offences,B40 Theft,9
Metro Inner West,Delahey,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Metro Outer South,Hastings,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Inner West,Newport,A Crimes against the person,Other crimes against the person,9
Metro Inner,St Kilda East,E Justice procedures offences,E10 Justice procedures,9
Other,Quarry Hill,A Crimes against the person,Other crimes against the person,9
Other,Hamilton,C Drug offences,C10 Drug dealing and trafficking,9
Metro Outer East,Montrose,A Crimes against the person,Other crimes against the person,9
Metro Inner West,Sunshine North,A Crimes against the person,A50 Robbery,9
Metro Inner East,Mulgrave,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Inner East,Upper Ferntree Gully,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner West,Altona,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Metro Inner West,Essendon North,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Outer South,Blairgowrie,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner East,Clayton,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Outer West,Manor Lakes,B Property and deception offences,B50 Deception,9
Other,Lorne,B Property and deception offences,B20 Property damage,9
Metro Inner North,Brunswick West,C Drug offences,C30 Drug use and possession,9
Metro Inner West,Strathmore,A Crimes against the person,Other crimes against the person,9
Metro Inner East,Glen Waverley,D Public order and security offences,D20 Disorderly and offensive conduct,9
Metro Inner North,Coburg,B Property and deception offences,B10 Arson,9
Other,Kerang,C Drug offences,C30 Drug use and possession,9
,Eagle Point,B Property and deception offences,B40 Theft,9
,Eynesbury,E Justice procedures offences,E20 Breaches of orders,9
Metro Outer South,Carrum,A Crimes against the person,Other crimes against the person,9
Metro Outer South,Bonbeach,C Drug offences,C30 Drug use and possession,9
,Dalyston,A Crimes against the person,A20 Assault and related offences,9
Other,Terang,B Property and deception offences,B20 Property damage,9
Metro Inner North,Watsonia,C Drug offences,C30 Drug use and possession,9
Other,Little River,B Property and deception offences,B50 Deception,9
Metro Outer South,Parkdale,D Public order and security offences,D20 Disorderly and offensive conduct,9
Other,Edenhope,E Justice procedures offences,E20 Breaches of orders,9
Metro Inner West,Sunshine North,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Other,Aberfeldie,A Crimes against the person,A20 Assault and related offences,9
Metro Inner,Fairfield,A Crimes against the person,Other crimes against the person,9
Metro Inner,Port Melbourne CBD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Other,Trafalgar,B Property and deception offences,B50 Deception,9
Other,Mansfield,B Property and deception offences,B50 Deception,9
Metro Outer West,Manor Lakes,A Crimes against the person,A50 Robbery,9
Metro Inner East,Templestowe,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Metro Inner,Flemington,D Public order and security offences,D20 Disorderly and offensive conduct,9
Metro Outer East,Mount Dandenong,B Property and deception offences,B30 Burglary/Break and enter,9
,Barmah,B Property and deception offences,B40 Theft,9
Other,Stawell,D Public order and security offences,D20 Disorderly and offensive conduct,9
,Shepparton North,E Justice procedures offences,E20 Breaches of orders,9
Metro Inner East,Scoresby,A Crimes against the person,Other crimes against the person,9
Metro Outer South,Mordialloc,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Other,Redan,D Public order and security offences,D10 Weapons and explosives offences,9
Other,Quarry Hill,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner West,Laverton,A Crimes against the person,Other crimes against the person,9
,Wy Yung,A Crimes against the person,Other crimes against the person,9
Metro Outer South,Narre Warren South,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Outer North,Hurstbridge,B Property and deception offences,B20 Property damage,9
Other,Bell Post Hill,B Property and deception offences,B50 Deception,9
Metro Inner East,Scoresby,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Inner West,Seabrook,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner East,Kew,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Inner North,Ivanhoe East,E Justice procedures offences,E20 Breaches of orders,9
Metro Inner South,Sandringham,D Public order and security offences,D10 Weapons and explosives offences,9
Metro Inner,Melbourne CBD,F Other offences,F90 Miscellaneous offences,9
Other,Cowes,D Public order and security offences,D10 Weapons and explosives offences,9
Metro Inner West,Taylors Lakes,E Justice procedures offences,E10 Justice procedures,9
Metro Outer South,Bonbeach,C Drug offences,C10 Drug dealing and trafficking,9
Other,Thomson,C Drug offences,C30 Drug use and possession,9
Other,Dandenong North,B Property and deception offences,B10 Arson,9
Metro Outer South,Mordialloc,E Justice procedures offences,E10 Justice procedures,9
Other,Paynesville,B Property and deception offences,B50 Deception,9
Other,Black Hill,A Crimes against the person,A20 Assault and related offences,9
Metro Outer South,Parkdale,D Public order and security offences,D10 Weapons and explosives offences,9
Metro Inner North,Pascoe Vale South,A Crimes against the person,Other crimes against the person,9
Metro Outer South,Berwick,D Public order and security offences,D30 Public nuisance offences,9
,Elmore,B Property and deception offences,B30 Burglary/Break and enter,9
Other,Drouin,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Outer South,Emerald,A Crimes against the person,Other crimes against the person,9
Metro Outer West,Brookfield,B Property and deception offences,B50 Deception,9
,Croydon Hills,B Property and deception offences,B40 Theft,9
Other,Bairnsdale,B Property and deception offences,B10 Arson,9
Metro Outer South,Patterson Lakes,D Public order and security offences,D10 Weapons and explosives offences,9
,Kinglake,B Property and deception offences,B40 Theft,9
Metro Outer West,Werribee,C Drug offences,C10 Drug dealing and trafficking,9
Other,Geelong,C Drug offences,C10 Drug dealing and trafficking,9
Other,North Shore,B Property and deception offences,B20 Property damage,9
Metro Inner,St Kilda West,B Property and deception offences,B50 Deception,9
Metro Inner East,Box Hill,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
,Eureka,B Property and deception offences,B30 Burglary/Break and enter,9
Other,Grovedale,E Justice procedures offences,E10 Justice procedures,9
Metro Outer North,Craigieburn,C Drug offences,C20 Cultivate or manufacture drugs,9
Metro Outer South,Patterson Lakes,E Justice procedures offences,E10 Justice procedures,9
Other,Daylesford,A Crimes against the person,Other crimes against the person,9
Other,Kyneton,A Crimes against the person,Other crimes against the person,9
Metro Inner South,Bentleigh,A Crimes against the person,A50 Robbery,9
Metro Outer East,Monbulk,A Crimes against the person,Other crimes against the person,9
Other,Mitchell Park,B Property and deception offences,B10 Arson,9
Other,Anglesea,A Crimes against the person,A20 Assault and related offences,9
Metro Inner West,Kingsville,B Property and deception offences,B20 Property damage,9
Metro Inner East,Boronia,A Crimes against the person,A50 Robbery,9
Metro Outer South,Tyabb,A Crimes against the person,Other crimes against the person,9
Other,Whittington,D Public order and security offences,D10 Weapons and explosives offences,9
Metro Outer West,Strathtulloh,A Crimes against the person,Other crimes against the person,9
Metro Inner West,Sunshine North,D Public order and security offences,D30 Public nuisance offences,9
Metro Inner West,Essendon North,E Justice procedures offences,E20 Breaches of orders,9
Metro Inner South,Carnegie,D Public order and security offences,D10 Weapons and explosives offences,9
Other,Wallan,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Inner,St Kilda West,B Property and deception offences,B30 Burglary/Break and enter,9
Other,South Geelong,A Crimes against the person,A20 Assault and related offences,9
Other,Lockington,B Property and deception offences,B40 Theft,9
Other,Warrenheip,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner West,Maribyrnong,D Public order and security offences,D30 Public nuisance offences,9
Metro Inner West,Newport,D Public order and security offences,D10 Weapons and explosives offences,9
Metro Inner North,Pascoe Vale,C Drug offences,C30 Drug use and possession,9
Other,Trafalgar,A Crimes against the person,Other crimes against the person,9
Metro Outer South,Patterson Lakes,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
,Moorooduc,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner East,Balwyn North,E Justice procedures offences,E10 Justice procedures,9
Metro Outer South,Lynbrook,D Public order and security offences,D10 Weapons and explosives offences,9
Other,North Geelong,C Drug offences,C30 Drug use and possession,9
,Merrigum,B Property and deception offences,B40 Theft,9
,Heywood,B Property and deception offences,B20 Property damage,9
Metro Inner West,Essendon Fields,A Crimes against the person,A20 Assault and related offences,9
Metro Outer South,Berwick,C Drug offences,C20 Cultivate or manufacture drugs,9
Metro Inner East,Warrandyte,E Justice procedures offences,E20 Breaches of orders,9
,Attwood,A Crimes against the person,A20 Assault and related offences,9
,Corryong,B Property and deception offences,B40 Theft,9
Metro Inner North,Brunswick,C Drug offences,C20 Cultivate or manufacture drugs,9
Other,Ararat,B Property and deception offences,B10 Arson,9
,Cobden,B Property and deception offences,B30 Burglary/Break and enter,9
,Leigh Creek,B Property and deception offences,B40 Theft,9
Other,Woodend,B Property and deception offences,B50 Deception,9
Metro Inner,Carlton,B Property and deception offences,B10 Arson,9
Other,Beveridge,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Other,North Shore,E Justice procedures offences,E20 Breaches of orders,9
Metro Inner East,Warrandyte,A Crimes against the person,Other crimes against the person,9
Metro Outer North,Tullamarine,C Drug offences,C10 Drug dealing and trafficking,9
,Ventnor,A Crimes against the person,A20 Assault and related offences,9
Metro Outer South,Beaconsfield,B Property and deception offences,B50 Deception,9
Metro Outer West,Bonnie Brook,B Property and deception offences,B20 Property damage,9
,Stanhope,B Property and deception offences,B40 Theft,9
Metro Inner East,Wheelers Hill,C Drug offences,C30 Drug use and possession,9
Metro Outer North,Epping,D Public order and security offences,D30 Public nuisance offences,9
,Jackass Flat,B Property and deception offences,B20 Property damage,9
,Baddaginnie,B Property and deception offences,B40 Theft,9
,Point Lonsdale,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Outer East,Millgrove,E Justice procedures offences,E20 Breaches of orders,9
Other,North Geelong,E Justice procedures offences,E10 Justice procedures,9
,Venus Bay,B Property and deception offences,B40 Theft,9
Metro Outer West,Melton,C Drug offences,C20 Cultivate or manufacture drugs,9
,Park Orchards,A Crimes against the person,A20 Assault and related offences,9
Metro Inner West,Seddon,A Crimes against the person,Other crimes against the person,9
Metro Inner East,Blackburn,C Drug offences,C30 Drug use and possession,9
Other,Soldiers Hill,A Crimes against the person,Other crimes against the person,9
Metro Outer South,Tootgarook,C Drug offences,C30 Drug use and possession,9
Metro Inner North,Thornbury,D Public order and security offences,D20 Disorderly and offensive conduct,9
Metro Inner South,Hampton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Other,Wurruk,B Property and deception offences,B30 Burglary/Break and enter,9
,Dimboola,A Crimes against the person,A20 Assault and related offences,9
Metro Inner South,Murrumbeena,D Public order and security offences,D10 Weapons and explosives offences,9
Metro Outer East,Chirnside Park,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Metro Inner East,Box Hill,D Public order and security offences,D20 Disorderly and offensive conduct,9
,Ceres,B Property and deception offences,B40 Theft,9
Other,North Wonthaggi,A Crimes against the person,Other crimes against the person,9
Metro Inner,Clifton Hill,A Crimes against the person,Other crimes against the person,9
Metro Outer North,Westmeadows,C Drug offences,C30 Drug use and possession,9
Metro Inner West,Travancore,B Property and deception offences,B30 Burglary/Break and enter,9
Other,Brooklyn,B Property and deception offences,B50 Deception,9
Other,Cobblebank,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner East,Ashburton,E Justice procedures offences,E10 Justice procedures,9
Metro Inner East,Canterbury,B Property and deception offences,B50 Deception,9
Metro Inner East,Glen Waverley,C Drug offences,C20 Cultivate or manufacture drugs,9
Metro Inner South,Brighton,D Public order and security offences,D30 Public nuisance offences,9
Metro Inner North,Ivanhoe,E Justice procedures offences,E10 Justice procedures,9
Metro Outer North,Whittlesea,C Drug offences,C30 Drug use and possession,9
Other,Heathcote,E Justice procedures offences,E10 Justice procedures,9
Metro Inner,Windsor,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Inner North,Heidelberg Heights,A Crimes against the person,Other crimes against the person,9
Other,Yarram,E Justice procedures offences,E10 Justice procedures,9
Other,North Bendigo,A Crimes against the person,Other crimes against the person,9
Metro Inner East,Chadstone,C Drug offences,C30 Drug use and possession,9
Other,Manifold Heights,B Property and deception offences,B50 Deception,9
Other,Inverloch,E Justice procedures offences,E20 Breaches of orders,9
,Glengarry,B Property and deception offences,B40 Theft,9
Other,Wandong,B Property and deception offences,B20 Property damage,9
Metro Outer West,Caroline Springs,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Metro Outer South,Moorabbin,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Metro Inner West,Altona Meadows,A Crimes against the person,Other crimes against the person,9
Metro Outer South,Dandenong South,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9
Other,Traralgon East,B Property and deception offences,B50 Deception,9
,Clonbinane,B Property and deception offences,B40 Theft,9
Metro Outer East,Seville,E Justice procedures offences,E20 Breaches of orders,9
Metro Outer North,Eltham,D Public order and security offences,D10 Weapons and explosives offences,9
Metro Outer North,Greenvale,E Justice procedures offences,E10 Justice procedures,9
Other,Alexandra,B Property and deception offences,B50 Deception,9
Metro Outer South,Hallam,D Public order and security offences,D20 Disorderly and offensive conduct,9
Metro Inner North,Macleod,B Property and deception offences,B50 Deception,9
Metro Outer West,Point Cook,D Public order and security offences,D20 Disorderly and offensive conduct,9
Metro Outer South,Gembrook,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner East,Oakleigh South,C Drug offences,C30 Drug use and possession,9
Metro Outer South,Officer,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Other,Keysborough,D Public order and security offences,D30 Public nuisance offences,9
Metro Inner West,West Footscray,E Justice procedures offences,E10 Justice procedures,9
,Great Western,B Property and deception offences,B40 Theft,9
Other,Benalla,D Public order and security offences,D20 Disorderly and offensive conduct,9
Metro Inner East,Mitcham,E Justice procedures offences,E10 Justice procedures,9
Other,Korumburra,C Drug offences,C30 Drug use and possession,9
,Nyora,A Crimes against the person,Other crimes against the person,9
Other,Hamilton,D Public order and security offences,D20 Disorderly and offensive conduct,9
Metro Inner West,Albanvale,A Crimes against the person,Other crimes against the person,9
Other,Bairnsdale,C Drug offences,C10 Drug dealing and trafficking,9
Other,Kangaroo Flat,D Public order and security offences,D20 Disorderly and offensive conduct,9
Other,Corio,C Drug offences,C10 Drug dealing and trafficking,9
,Three Bridges,E Justice procedures offences,E20 Breaches of orders,9
Metro Inner South,Hampton,A Crimes against the person,Other crimes against the person,9
Metro Inner West,Kealba,C Drug offences,C30 Drug use and possession,9
Metro Outer West,Kurunjang,B Property and deception offences,B50 Deception,9
Metro Outer North,Wollert,E Justice procedures offences,E10 Justice procedures,9
Metro Inner East,Forest Hill,C Drug offences,C30 Drug use and possession,9
,Cobden,B Property and deception offences,B20 Property damage,9
Other,Robinvale,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner East,Nunawading,E Justice procedures offences,E10 Justice procedures,9
,Ouyen,A Crimes against the person,A20 Assault and related offences,9
Metro Inner West,Maribyrnong,C Drug offences,C30 Drug use and possession,9
Other,Ballarat East,C Drug offences,C30 Drug use and possession,9
,Wy Yung,B Property and deception offences,B20 Property damage,9
Other,Yea,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Inner West,Derrimut,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
,Mortlake,B Property and deception offences,B30 Burglary/Break and enter,9
Metro Outer South,Hallam,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
Other,Cape Woolamai,A Crimes against the person,A20 Assault and related offences,9
Other,Elliminyt,B Property and deception offences,B50 Deception,9
Other,Kyabram,C Drug offences,C30 Drug use and possession,9
Other,Warrenheip,B Property and deception offences,B50 Deception,9
,Casterton,A Crimes against the person,A20 Assault and related offences,9
Metro Inner West,Sunshine West,D Public order and security offences,D20 Disorderly and offensive conduct,9
Metro Outer East,Yarra Junction,A Crimes against the person,Other crimes against the person,9
Metro Outer West,Aintree,D Public order and security offences,D10 Weapons and explosives offences,9
Metro Inner North,Ivanhoe,C Drug offences,C30 Drug use and possession,9
Metro Inner East,Box Hill,A Crimes against the person,A50 Robbery,9
Metro Outer East,Mooroolbark,D Public order and security offences,D30 Public nuisance offences,9
Metro Outer South,Patterson Lakes,C Drug offences,C30 Drug use and possession,9
Metro Outer North,Coolaroo,C Drug offences,C30 Drug use and possession,9
Other,Broadford,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Other,Macedon,E Justice procedures offences,E20 Breaches of orders,8
,Seaspray,B Property and deception offences,B40 Theft,8
Other,Sea Lake,A Crimes against the person,A20 Assault and related offences,8
Other,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,8
,Bass,A Crimes against the person,A20 Assault and related offences,8
,Charlemont,B Property and deception offences,B20 Property damage,8
Metro Inner North,Viewbank,B Property and deception offences,B50 Deception,8
Other,Gisborne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Metro Outer North,Gladstone Park,E Justice procedures offences,E10 Justice procedures,8
Other,North Bendigo,B Property and deception offences,B50 Deception,8
,Golden Beach,A Crimes against the person,A20 Assault and related offences,8
Metro Outer South,Hallam,B Property and deception offences,B10 Arson,8
Metro Inner West,Moonee Ponds,A Crimes against the person,A50 Robbery,8
Other,Tatura,A Crimes against the person,Other crimes against the person,8
Metro Outer North,Mill Park,A Crimes against the person,A50 Robbery,8
Other,Yarrawonga,E Justice procedures offences,E10 Justice procedures,8
Other,Kerang,B Property and deception offences,B10 Arson,8
Metro Inner West,West Footscray,A Crimes against the person,Other crimes against the person,8
Metro Outer North,Wollert,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Other,Mooroopna,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
,San Remo,B Property and deception offences,B30 Burglary/Break and enter,8
Other,Avenel,E Justice procedures offences,E20 Breaches of orders,8
,Yackandandah,B Property and deception offences,B40 Theft,8
Other,Geelong West,A Crimes against the person,Other crimes against the person,8
Metro Inner North,Macleod,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
,Inverleigh,B Property and deception offences,B40 Theft,8
Metro Inner West,Derrimut,E Justice procedures offences,E10 Justice procedures,8
Other,Rutherglen,B Property and deception offences,B30 Burglary/Break and enter,8
,Nar Nar Goon,E Justice procedures offences,E20 Breaches of orders,8
Metro Outer South,Edithvale,D Public order and security offences,D10 Weapons and explosives offences,8
Metro Outer South,Moorabbin Airport,B Property and deception offences,B20 Property damage,8
Other,Ballarat Central,D Public order and security offences,D30 Public nuisance offences,8
,Poowong,E Justice procedures offences,E20 Breaches of orders,8
Metro Inner West,Altona,C Drug offences,C30 Drug use and possession,8
,Garfield,A Crimes against the person,A20 Assault and related offences,8
Metro Inner,Carlton North,E Justice procedures offences,E20 Breaches of orders,8
Metro Outer West,Manor Lakes,D Public order and security offences,D10 Weapons and explosives offences,8
,Mirboo North,E Justice procedures offences,E20 Breaches of orders,8
,Wahgunyah,B Property and deception offences,B40 Theft,8
Metro Outer West,Burnside,B Property and deception offences,B50 Deception,8
Other,Maddingley,E Justice procedures offences,E10 Justice procedures,8
,Bellbridge,B Property and deception offences,B40 Theft,8
Other,Kerang,D Public order and security offences,D30 Public nuisance offences,8
Metro Inner East,Oakleigh,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Other,Tongala,B Property and deception offences,B20 Property damage,8
Other,Barwon Heads,B Property and deception offences,B50 Deception,8
Other,Seymour,C Drug offences,C10 Drug dealing and trafficking,8
Metro Inner,Parkville,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Metro Inner West,Cairnlea,E Justice procedures offences,E10 Justice procedures,8
Other,Longwarry,B Property and deception offences,B30 Burglary/Break and enter,8
Other,Bright,E Justice procedures offences,E20 Breaches of orders,8
Metro Outer North,Lalor,A Crimes against the person,A50 Robbery,8
,Woodstock,B Property and deception offences,B40 Theft,8
Other,Rosedale,B Property and deception offences,B30 Burglary/Break and enter,8
Other,Norlane,D Public order and security offences,D20 Disorderly and offensive conduct,8
Other,Bakery Hill,E Justice procedures offences,E20 Breaches of orders,8
Other,Wandong,A Crimes against the person,A20 Assault and related offences,8
Other,Yallourn North,A Crimes against the person,A20 Assault and related offences,8
Metro Outer West,Burnside,B Property and deception offences,B20 Property damage,8
,Jan Juc,B Property and deception offences,B30 Burglary/Break and enter,8
,Heywood,B Property and deception offences,B30 Burglary/Break and enter,8
Other,East Bairnsdale,E Justice procedures offences,E10 Justice procedures,8
Other,Riddells Creek,A Crimes against the person,Other crimes against the person,8
,Bandiana,B Property and deception offences,B40 Theft,8
,Goornong,B Property and deception offences,B40 Theft,8
Metro Inner,Carlton,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
,Research,B Property and deception offences,B20 Property damage,8
Metro Inner,South Melbourne CBD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Other,Yarrawonga,D Public order and security offences,D10 Weapons and explosives offences,8
Other,Ironbark,B Property and deception offences,B30 Burglary/Break and enter,8
Metro Inner West,Footscray,D Public order and security offences,D30 Public nuisance offences,8
Metro Inner West,Keilor East,E Justice procedures offences,E10 Justice procedures,8
Metro Outer South,Hastings,C Drug offences,C10 Drug dealing and trafficking,8
Metro Outer South,Parkdale,A Crimes against the person,A50 Robbery,8
Other,Numurkah,C Drug offences,C30 Drug use and possession,8
Other,Corio,D Public order and security offences,D30 Public nuisance offences,8
Metro Inner East,Clayton,A Crimes against the person,A50 Robbery,8
,Yan Yean,B Property and deception offences,B20 Property damage,8
Other,Long Gully,D Public order and security offences,D10 Weapons and explosives offences,8
Metro Inner East,Malvern,D Public order and security offences,D30 Public nuisance offences,8
,Beaconsfield Upper,B Property and deception offences,B20 Property damage,8
Metro Outer South,Flinders,B Property and deception offences,B40 Theft,8
Metro Inner East,Camberwell,E Justice procedures offences,E10 Justice procedures,8
Metro Outer North,Hurstbridge,A Crimes against the person,A20 Assault and related offences,8
Metro Outer West,Rockbank,B Property and deception offences,B50 Deception,8
Other,Epsom,D Public order and security offences,D10 Weapons and explosives offences,8
,Smythesdale,B Property and deception offences,B20 Property damage,8
Metro Outer South,Capel Sound,A Crimes against the person,Other crimes against the person,8
Metro Outer South,Mount Eliza,D Public order and security offences,D10 Weapons and explosives offences,8
Other,Ocean Grove,C Drug offences,C30 Drug use and possession,8
Other,Paynesville,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
,Dunolly,A Crimes against the person,A20 Assault and related offences,8
Metro Outer West,Kurunjang,D Public order and security offences,D10 Weapons and explosives offences,8
Metro Inner East,Vermont South,D Public order and security offences,D10 Weapons and explosives offences,8
Metro Outer South,Dandenong South,D Public order and security offences,D10 Weapons and explosives offences,8
,Loch Sport,B Property and deception offences,B20 Property damage,8
Metro Outer South,Bittern,B Property and deception offences,B30 Burglary/Break and enter,8
Metro Inner North,Alphington,E Justice procedures offences,E10 Justice procedures,8
Metro Inner East,Malvern East,C Drug offences,C20 Cultivate or manufacture drugs,8
Metro Outer North,Coolaroo,A Crimes against the person,Other crimes against the person,8
Other,Noble Park,B Property and deception offences,B10 Arson,8
Other,Ironbark,E Justice procedures offences,E20 Breaches of orders,8
Metro Inner West,Williamstown North,D Public order and security offences,D10 Weapons and explosives offences,8
Metro Inner,Port Melbourne CBD,A Crimes against the person,A50 Robbery,8
Other,Newcomb,D Public order and security offences,D10 Weapons and explosives offences,8
Metro Outer South,Mordialloc,C Drug offences,C10 Drug dealing and trafficking,8
Other,Cobram,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Metro Inner East,Boronia,D Public order and security offences,D30 Public nuisance offences,8
Other,Trafalgar,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Other,Newington,B Property and deception offences,B30 Burglary/Break and enter,8
Metro Inner South,Carnegie,A Crimes against the person,A50 Robbery,8
,Lake Boga,A Crimes against the person,A20 Assault and related offences,8
Other,Lakes Entrance,D Public order and security offences,D30 Public nuisance offences,8
Metro Outer North,Gladstone Park,C Drug offences,C30 Drug use and possession,8
Other,Castlemaine,E Justice procedures offences,E10 Justice procedures,8
,Loch Sport,E Justice procedures offences,E20 Breaches of orders,8
Metro Outer South,Clarinda,A Crimes against the person,Other crimes against the person,8
,Violet Town,B Property and deception offences,B20 Property damage,8
Other,North Geelong,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Metro Inner West,Maidstone,A Crimes against the person,Other crimes against the person,8
Metro Inner East,The Basin,A Crimes against the person,Other crimes against the person,8
Metro Outer South,Clyde,C Drug offences,C10 Drug dealing and trafficking,8
Other,Yallourn North,B Property and deception offences,B30 Burglary/Break and enter,8
Other,Geelong West,D Public order and security offences,D20 Disorderly and offensive conduct,8
Other,Ararat,D Public order and security offences,D30 Public nuisance offences,8
Metro Inner West,Kensington,A Crimes against the person,Other crimes against the person,8
Metro Inner East,Chadstone,E Justice procedures offences,E10 Justice procedures,8
Other,Lorne,A Crimes against the person,Other crimes against the person,8
,Belgrave South,B Property and deception offences,B20 Property damage,8
Metro Inner East,Wantirna South,C Drug offences,C10 Drug dealing and trafficking,8
Other,Buninyong,B Property and deception offences,B20 Property damage,8
Other,Norlane,B Property and deception offences,B10 Arson,8
Metro Inner West,Sydenham,A Crimes against the person,Other crimes against the person,8
,Carisbrook,A Crimes against the person,A20 Assault and related offences,8
,San Remo,A Crimes against the person,A20 Assault and related offences,8
Other,Delacombe,B Property and deception offences,B10 Arson,8
Metro Inner North,Brunswick,B Property and deception offences,B10 Arson,8
Other,Chiltern,A Crimes against the person,A20 Assault and related offences,8
Other,Weir Views,B Property and deception offences,B50 Deception,8
,Chewton,B Property and deception offences,B20 Property damage,8
Metro Outer North,Meadow Heights,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
,Denison,E Justice procedures offences,E20 Breaches of orders,8
Metro Outer North,Jacana,A Crimes against the person,Other crimes against the person,8
,Heywood,B Property and deception offences,B40 Theft,8
,Wy Yung,D Public order and security offences,D10 Weapons and explosives offences,8
,Nyora,B Property and deception offences,B40 Theft,8
,Launching Place,E Justice procedures offences,E20 Breaches of orders,8
Other,Bendigo,B Property and deception offences,B10 Arson,8
Metro Inner West,Strathmore,C Drug offences,C30 Drug use and possession,8
,Grantville,B Property and deception offences,B30 Burglary/Break and enter,8
,Plenty,B Property and deception offences,B30 Burglary/Break and enter,8
Other,Golden Point,E Justice procedures offences,E10 Justice procedures,8
Metro Inner East,Ferntree Gully,B Property and deception offences,B10 Arson,8
Metro Outer West,Tarneit,B Property and deception offences,B10 Arson,8
Metro Inner East,Bayswater,C Drug offences,C20 Cultivate or manufacture drugs,8
Other,Frankston South,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Metro Outer South,Tyabb,E Justice procedures offences,E20 Breaches of orders,8
Other,Leopold,D Public order and security offences,D10 Weapons and explosives offences,8
Metro Inner East,Burwood East,C Drug offences,C30 Drug use and possession,8
Other,Kilmore,C Drug offences,C30 Drug use and possession,8
Other,Breakwater,E Justice procedures offences,E20 Breaches of orders,8
Other,Frankston South,E Justice procedures offences,E10 Justice procedures,8
Other,Cohuna,A Crimes against the person,A20 Assault and related offences,8
Metro Inner South,Chelsea Heights,A Crimes against the person,Other crimes against the person,8
,South Kingsville,B Property and deception offences,B20 Property damage,8
Metro Inner East,Ashburton,C Drug offences,C20 Cultivate or manufacture drugs,8
,Snake Valley,B Property and deception offences,B40 Theft,8
Other,Yea,E Justice procedures offences,E20 Breaches of orders,8
