Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Metro Outer North,Campbellfield,B Property and deception offences,B40 Theft,491
Metro Inner West,Braybrook,B Property and deception offences,B40 Theft,488
Metro Inner,Melbourne CBD,D Public order and security offences,D20 Disorderly and offensive conduct,481
Other,Ballarat Central,E Justice procedures offences,E20 Breaches of orders,477
Metro Inner,Melbourne CBD,D Public order and security offences,D10 Weapons and explosives offences,475
Metro Inner,Abbotsford,B Property and deception offences,B40 Theft,469
Metro Inner South,Brighton,B Property and deception offences,B40 Theft,465
Metro Inner,Fitzroy North,B Property and deception offences,B40 Theft,460
Other,Warrnambool,B Property and deception offences,B40 Theft,458
Metro Inner East,Kew,B Property and deception offences,B40 Theft,447
Metro Inner North,Reservoir,E Justice procedures offences,E20 Breaches of orders,447
Metro Outer South,Mornington,B Property and deception offences,B40 Theft,442
Metro Inner South,Carnegie,B Property and deception offences,B40 Theft,436
Other,Traralgon,E Justice procedures offences,E20 Breaches of orders,435
Metro Inner West,Essendon,B Property and deception offences,B40 Theft,435
Metro Outer South,Dandenong South,B Property and deception offences,B40 Theft,432
Other,Morwell,A Crimes against the person,A20 Assault and related offences,431
Metro Inner North,Brunswick East,B Property and deception offences,B40 Theft,430
Metro Inner North,Greensborough,B Property and deception offences,B40 Theft,430
Other,Mildura,B Property and deception offences,B30 Burglary/Break and enter,428
Metro Inner,Melbourne CBD,C Drug offences,C30 Drug use and possession,425
Other,Shepparton,B Property and deception offences,B20 Property damage,424
Metro Inner North,Glenroy,B Property and deception offences,B40 Theft,424
Metro Inner West,Deer Park,B Property and deception offences,B40 Theft,418
Metro Outer South,Pakenham,E Justice procedures offences,E20 Breaches of orders,418
Metro Inner East,Ferntree Gully,B Property and deception offences,B40 Theft,417
Other,Echuca,E Justice procedures offences,E20 Breaches of orders,417
Metro Inner West,Taylors Lakes,B Property and deception offences,B40 Theft,414
Other,Dandenong,B Property and deception offences,B20 Property damage,413
Metro Inner,Parkville,B Property and deception offences,B40 Theft,410
Metro Outer North,Melbourne CBD Airport,B Property and deception offences,B40 Theft,407
Metro Inner North,Brunswick West,B Property and deception offences,B40 Theft,406
Metro Inner North,Preston,E Justice procedures offences,E20 Breaches of orders,401
Metro Inner West,West Footscray,B Property and deception offences,B40 Theft,401
Metro Outer South,Pakenham,A Crimes against the person,A20 Assault and related offences,401
Other,Horsham,E Justice procedures offences,E20 Breaches of orders,396
Other,Warragul,B Property and deception offences,B40 Theft,392
Metro Inner East,Mitcham,B Property and deception offences,B40 Theft,392
Metro Outer North,Mill Park,B Property and deception offences,B40 Theft,392
Metro Outer South,Hallam,B Property and deception offences,B40 Theft,386
Metro Inner West,Airport West,B Property and deception offences,B40 Theft,385
Metro Inner West,Sunshine West,B Property and deception offences,B40 Theft,385
Other,Wodonga,E Justice procedures offences,E20 Breaches of orders,384
Other,Belmont,B Property and deception offences,B40 Theft,380
Metro Outer North,Craigieburn,A Crimes against the person,A20 Assault and related offences,380
Metro Inner South,Bentleigh East,B Property and deception offences,B40 Theft,380
Metro Inner,Flemington,B Property and deception offences,B40 Theft,379
Metro Inner West,Williamstown,B Property and deception offences,B40 Theft,376
Metro Inner East,Camberwell,B Property and deception offences,B40 Theft,374
Metro Inner West,Yarraville,B Property and deception offences,B40 Theft,373
Other,Shepparton,B Property and deception offences,B30 Burglary/Break and enter,372
Other,Norlane,B Property and deception offences,B40 Theft,371
Metro Outer West,Wyndham Vale,B Property and deception offences,B40 Theft,370
Metro Outer West,Caroline Springs,B Property and deception offences,B40 Theft,369
Metro Outer South,Mentone,B Property and deception offences,B40 Theft,365
Metro Inner,West Melbourne CBD,B Property and deception offences,B40 Theft,365
