Suburb/Town Name,Region,Local Government Area,Postcode
Carnegie,Metro Inner South,Glen Eira,3163
Caulfield,Metro Inner South,Glen Eira,3162
Caulfield East,Metro Inner South,Glen Eira,3145
Caulfield North,Metro Inner South,Glen Eira,3161
Caulfield South,Metro Inner South,Glen Eira,3162
Elsternwick,Metro Inner South,Glen Eira,3185
Gardenvale,Metro Inner South,Glen Eira,3185
Glen Huntly,Metro Inner South,Glen Eira,3163
Hampton,Metro Inner South,Bayside,3188
Hampton East,Metro Inner South,Bayside,3188
Highett,Metro Inner South,Bayside,3190
McKinnon,Metro Inner South,Glen Eira,3204
Murrumbeena,Metro Inner South,Glen Eira,3163
Ormond,Metro Inner South,Glen Eira,3204
Sandringham,Metro Inner South,Bayside,3191
Airport West,Metro Inner West,Moonee Valley,3042
Albion,Metro Inner West,Brimbank,3020
Altona,Metro Inner West,Hobsons Bay,3018
Altona Meadows,Metro Inner West,Hobsons Bay,3028
Altona North,Metro Inner West,Hobsons Bay,3025
Ascot Vale,Metro Inner West,Moonee Valley,3032
Braybrook,Metro Inner West,Maribyrnong,3019
Cairnlea,Metro Inner West,Brimbank,3023
Deer Park,Metro Inner West,Brimbank,3023
Delahey,Metro Inner West,Brimbank,3037
Derrimut,Metro Inner West,Brimbank,3026
Essendon,Metro Inner West,Moonee Valley,3040
Essendon North,Metro Inner West,Moonee Valley,3041
Essendon West,Metro Inner West,Moonee Valley,3040
Footscray,Metro Inner West,Maribyrnong,3011
Kealba,Metro Inner West,Brimbank,3021
Keilor Downs,Metro Inner West,Brimbank,3038
Keilor Lodge,Metro Inner West,Brimbank,3038
Keilor North,Metro Inner West,Brimbank,3036
Kensington,Metro Inner West,Moonee Valley,3031
Kings Park,Metro Inner West,Brimbank,3021
Kingsville,Metro Inner West,Maribyrnong,3012
Laverton,Metro Inner West,Hobsons Bay,3028
Maidstone,Metro Inner West,Maribyrnong,3012
Maribyrnong,Metro Inner West,Maribyrnong,3032
Moonee Ponds,Metro Inner West,Moonee Valley,3039
Newport,Metro Inner West,Hobsons Bay,3015
Niddrie,Metro Inner West,Moonee Valley,3042
Seabrook,Metro Inner West,Hobsons Bay,3028
Seaholme,Metro Inner West,Hobsons Bay,3018
Seddon,Metro Inner West,Maribyrnong,3011
Spotswood,Metro Inner West,Hobsons Bay,3015
St Albans,Metro Inner West,Brimbank,3021
Strathmore,Metro Inner West,Moonee Valley,3041
Sunshine,Metro Inner West,Brimbank,3020
Sunshine North,Metro Inner West,Brimbank,3020
Sunshine West,Metro Inner West,Brimbank,3020
Sydenham,Metro Inner West,Brimbank,3037
Taylors Lakes,Metro Inner West,Brimbank,3038
Travancore,Metro Inner West,Moonee Valley,3032
West Footscray,Metro Inner West,Maribyrnong,3012
Williamstown,Metro Inner West,Hobsons Bay,3016
Williamstown North,Metro Inner West,Hobsons Bay,3016
Yarraville,Metro Inner West,Maribyrnong,3013
Belgrave Heights,Metro Outer East,Yarra Ranges,3160
Chirnside Park,Metro Outer East,Yarra Ranges,3116
Healesville,Metro Outer East,Yarra Ranges,3777
Lilydale,Metro Outer East,Yarra Ranges,3140
Millgrove,Metro Outer East,Yarra Ranges,3799
Montrose,Metro Outer East,Yarra Ranges,3765
Mooroolbark,Metro Outer East,Yarra Ranges,3138
Mount Dandenong,Metro Outer East,Yarra Ranges,3767
Seville,Metro Outer East,Yarra Ranges,3139
Tecoma,Metro Outer East,Yarra Ranges,3160
Upwey,Metro Outer East,Yarra Ranges,3158
Warburton,Metro Outer East,Yarra Ranges,3799
Woori Yallock,Metro Outer East,Yarra Ranges,3139
Yarra Junction,Metro Outer East,Yarra Ranges,3797
Broadmeadows,Metro Outer North,Hume,3047
Campbellfield,Metro Outer North,Hume,3061
Coolaroo,Metro Outer North,Hume,3048
Craigieburn,Metro Outer North,Hume,3064
Donnybrook,Metro Outer North,Whittlesea,3064
Doreen,Metro Outer North,Whittlesea,3754
Eltham,Metro Outer North,Nillumbik,3095
Epping,Metro Outer North,Whittlesea,3076
Gladstone Park,Metro Outer North,Hume,3043
Greenvale,Metro Outer North,Hume,3059
Hurstbridge,Metro Outer North,Nillumbik,3099
Kalkallo,Metro Outer North,Hume,3064
Lalor,Metro Outer North,Whittlesea,3075
Meadow Heights,Metro Outer North,Hume,3048
Mernda,Metro Outer North,Whittlesea,3754
Mickleham,Metro Outer North,Hume,3064
Mill Park,Metro Outer North,Whittlesea,3082
North Warrandyte,Metro Outer North,Nillumbik,3113
South Morang,Metro Outer North,Whittlesea,3752
Sunbury,Metro Outer North,Hume,3429
Thomastown,Metro Outer North,Whittlesea,3074
Tullamarine,Metro Outer North,Hume,3043
Wollert,Metro Outer North,Whittlesea,3750
Aspendale,Metro Outer South,Kingston,3195
Aspendale Gardens,Metro Outer South,Kingston,3195
Baxter,Metro Outer South,Mornington Peninsula,3911
Beaconsfield,Metro Outer South,Cardinia,3807
Berwick,Metro Outer South,Casey,3806
Bonbeach,Metro Outer South,Kingston,3196
Bunyip North,Metro Outer South,Cardinia,3815
Capel Sound,Metro Outer South,Mornington Peninsula,3940
Carrum,Metro Outer South,Kingston,3197
Chelsea,Metro Outer South,Kingston,3196
Cheltenham,Metro Outer South,Kingston,3192
Clarinda,Metro Outer South,Kingston,3169
Clayton South,Metro Outer South,Kingston,3169
Clyde,Metro Outer South,Casey,3978
Clyde North,Metro Outer South,Casey,3978
Cranbourne,Metro Outer South,Casey,3977
Cranbourne East,Metro Outer South,Casey,3977
Cranbourne North,Metro Outer South,Casey,3977
Cranbourne West,Metro Outer South,Casey,3977
Crib Point,Metro Outer South,Mornington Peninsula,3919
Dingley Village,Metro Outer South,Kingston,3172
Doveton,Metro Outer South,Casey,3177
Dromana,Metro Outer South,Mornington Peninsula,3936
Edithvale,Metro Outer South,Kingston,3196
Emerald,Metro Outer South,Cardinia,3782
Endeavour Hills,Metro Outer South,Casey,3802
Eumemmerring,Metro Outer South,Casey,3177
Fingal,Metro Outer South,Mornington Peninsula,3939
Flinders,Metro Outer South,Mornington Peninsula,3929
Gembrook,Metro Outer South,Cardinia,3783
Hallam,Metro Outer South,Casey,3803
Hampton Park,Metro Outer South,Casey,3976
Hastings,Metro Outer South,Mornington Peninsula,3915
Heatherton,Metro Outer South,Kingston,3202
Koo Wee Rup,Metro Outer South,Cardinia,3981
Lynbrook,Metro Outer South,Casey,3975
Lyndhurst,Metro Outer South,Casey,3975
Mentone,Metro Outer South,Kingston,3194
Moorabbin,Metro Outer South,Kingston,3189
Moorabbin Airport,Metro Outer South,Kingston,3194
Mordialloc,Metro Outer South,Kingston,3195
Mornington,Metro Outer South,Mornington Peninsula,3931
Mount Eliza,Metro Outer South,Mornington Peninsula,3930
Mount Martha,Metro Outer South,Mornington Peninsula,3934
Narre Warren,Metro Outer South,Casey,3805
Narre Warren South,Metro Outer South,Casey,3805
Officer,Metro Outer South,Cardinia,3809
Pakenham,Metro Outer South,Cardinia,3810
Parkdale,Metro Outer South,Kingston,3195
Patterson Lakes,Metro Outer South,Kingston,3197
Rosebud,Metro Outer South,Mornington Peninsula,3939
Rye,Metro Outer South,Mornington Peninsula,3941
Safety Beach,Metro Outer South,Mornington Peninsula,3936
Somerville,Metro Outer South,Mornington Peninsula,3912
Tyabb,Metro Outer South,Mornington Peninsula,3913
Aintree,Metro Outer West,Melton,3336
Bonnie Brook,Metro Outer West,Melton,3335
Brookfield,Metro Outer West,Melton,3338
Burnside Heights,Metro Outer West,Melton,3023
Caroline Springs,Metro Outer West,Melton,3023
Fraser Rise,Metro Outer West,Melton,3336
Harkness,Metro Outer West,Melton,3337
Hillside,Metro Outer West,Melton,3037
Hoppers Crossing,Metro Outer West,Wyndham,3029
Kurunjang,Metro Outer West,Melton,3337
Manor Lakes,Metro Outer West,Wyndham,3024
Melton,Metro Outer West,Melton,3337
Melton South,Metro Outer West,Melton,3338
Melton West,Metro Outer West,Melton,3337
Point Cook,Metro Outer West,Wyndham,3030
Ravenhall,Metro Outer West,Melton,3023
Rockbank,Metro Outer West,Melton,3335
Strathtulloh,Metro Outer West,Melton,3338
Tarneit,Metro Outer West,Wyndham,3029
Thornhill Park,Metro Outer West,Melton,3335
Truganina,Metro Outer West,Wyndham,3029
Werribee,Metro Outer West,Wyndham,3030
Williams Landing,Metro Outer West,Wyndham,3027
Wyndham Vale,Metro Outer West,Wyndham,3024
Alfredton,Other,Ballarat,3350
Anglesea,Other,Surf Coast,3230
