Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Hume,3047,Broadmeadows,B Property and deception offences,B40 Theft,657,1078,64.07914764079148,421
Manningham,3108,Doncaster,B Property and deception offences,B40 Theft,640,931,45.46874999999999,291
Greater Geelong,3220,Geelong,B Property and deception offences,B40 Theft,637,990,55.416012558869696,353
Darebin,3070,Northcote,B Property and deception offences,B40 Theft,633,988,56.08214849921011,355
Greater Geelong,3220,Geelong,E Justice procedures offences,E20 Breaches of orders,627,670,6.858054226475274,43
Greater Bendigo,3550,Bendigo,B Property and deception offences,B40 Theft,616,1127,82.95454545454545,511
Moonee Valley,3032,Ascot Vale,B Property and deception offences,B40 Theft,609,804,32.01970443349753,195
Whitehorse,3128,Box Hill,B Property and deception offences,B40 Theft,600,908,51.33333333333334,308
Hume,3047,Broadmeadows,E Justice procedures offences,E20 Breaches of orders,591,424,-28.25719120135364,-167
Mildura,3500,Mildura,A Crimes against the person,A20 Assault and related offences,589,669,13.582342954159587,80
Greater Geelong,3214,Corio,B Property and deception offences,B40 Theft,587,802,36.62691652470187,215
Monash,3149,Mount Waverley,B Property and deception offences,B40 Theft,587,827,40.88586030664396,240
Greater Dandenong,3173,Keysborough,B Property and deception offences,B40 Theft,583,687,17.83876500857633,104
Moonee Valley,3039,Moonee Ponds,B Property and deception offences,B40 Theft,577,753,30.50259965337956,176
Whittlesea,3074,Thomastown,B Property and deception offences,B40 Theft,573,1167,103.66492146596858,594
Brimbank,3020,Sunshine North,B Property and deception offences,B40 Theft,572,636,11.188811188811187,64
Frankston,3198,Seaford,B Property and deception offences,B40 Theft,570,876,53.68421052631578,306
Monash,3166,Oakleigh,B Property and deception offences,B40 Theft,568,815,43.48591549295775,247
Wodonga,3690,Wodonga,B Property and deception offences,B40 Theft,567,803,41.622574955908284,236
Ballarat,3350,Ballarat Central,B Property and deception offences,B40 Theft,566,693,22.438162544169614,127
Campaspe,3564,Echuca,B Property and deception offences,B40 Theft,566,844,49.116607773851584,278
Boroondara,3122,Hawthorn,B Property and deception offences,B40 Theft,551,779,41.37931034482758,228
Wyndham,3029,Truganina,B Property and deception offences,B40 Theft,546,862,57.87545787545787,316
