Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Melton,3335,Bonnie Brook,B Property and deception offences,B20 Property damage,9,22,,13
Mildura,3490,Ouyen,A Crimes against the person,A20 Assault and related offences,9,2,,-7
Yarra Ranges,3138,Mooroolbark,D Public order and security offences,D30 Public nuisance offences,9,12,,3
Casey,3803,Hallam,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,11,,2
Moonee Valley,3041,Essendon North,E Justice procedures offences,E20 Breaches of orders,9,13,,4
Hume,3043,Tullamarine,C Drug offences,C10 Drug dealing and trafficking,9,12,,3
Bass Coast,3922,Cowes,D Public order and security offences,D10 Weapons and explosives offences,9,4,,-5
Frankston,3199,Frankston South,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,17,,8
Greater Geelong,3220,South Geelong,A Crimes against the person,A20 Assault and related offences,9,7,,-2
Whitehorse,3132,Mitcham,E Justice procedures offences,E10 Justice procedures,9,10,,1
Melton,3337,Kurunjang,B Property and deception offences,B50 Deception,9,9,,0
Boroondara,3147,Ashburton,E Justice procedures offences,E10 Justice procedures,9,14,,5
Wyndham,3024,Manor Lakes,A Crimes against the person,A50 Robbery,9,11,,2
Greater Bendigo,3550,North Bendigo,A Crimes against the person,Other crimes against the person,9,11,,2
Kingston,3197,Patterson Lakes,D Public order and security offences,D10 Weapons and explosives offences,9,5,,-4
Banyule,3088,Greensborough,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,4,,-5
Banyule,3088,Greensborough,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,1,,-8
Greater Bendigo,3550,Quarry Hill,E Justice procedures offences,E20 Breaches of orders,9,18,,9
Moyne,3284,Port Fairy,E Justice procedures offences,E20 Breaches of orders,9,10,,1
Merri-bek,3044,Pascoe Vale,C Drug offences,C30 Drug use and possession,9,11,,2
Stonnington,3181,Windsor,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,8,,-1
Bass Coast,3996,Inverloch,E Justice procedures offences,E20 Breaches of orders,9,35,,26
Yarra,3067,Abbotsford,D Public order and security offences,D20 Disorderly and offensive conduct,9,7,,-2
Hindmarsh,3414,Dimboola,A Crimes against the person,A20 Assault and related offences,9,7,,-2
Wyndham,3030,Point Cook,D Public order and security offences,D20 Disorderly and offensive conduct,9,11,,2
Melton,3338,Eynesbury,E Justice procedures offences,E20 Breaches of orders,9,12,,3
Greater Geelong,3215,North Geelong,E Justice procedures offences,E10 Justice procedures,9,26,,17
Brimbank,3021,Albanvale,A Crimes against the person,Other crimes against the person,9,8,,-1
Southern Grampians,3300,Hamilton,C Drug offences,C10 Drug dealing and trafficking,9,10,,1
Ballarat,3350,Eureka,B Property and deception offences,B30 Burglary/Break and enter,9,5,,-4
Brimbank,3020,Sunshine North,D Public order and security offences,D30 Public nuisance offences,9,9,,0
Greater Geelong,3220,Geelong,C Drug offences,C10 Drug dealing and trafficking,9,15,,6
Brimbank,3037,Sydenham,C Drug offences,C30 Drug use and possession,9,8,,-1
Latrobe,3844,Traralgon East,B Property and deception offences,B50 Deception,9,3,,-6
Glen Eira,3183,St Kilda East,A Crimes against the person,Other crimes against the person,9,14,,5
Glen Eira,3183,St Kilda East,A Crimes against the person,Other crimes against the person,9,13,,4
Merri-bek,3056,Brunswick,C Drug offences,C20 Cultivate or manufacture drugs,9,10,,1
Ballarat,3350,Redan,D Public order and security offences,D10 Weapons and explosives offences,9,18,,9
East Gippsland,3880,Paynesville,B Property and deception offences,B50 Deception,9,9,,0
Casey,3805,Narre Warren South,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,7,,-2
Monash,3170,Mulgrave,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,18,,9
Whitehorse,3128,Box Hill,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,4,,-5
Wodonga,3691,Barnawartha North,B Property and deception offences,B40 Theft,9,5,,-4
Moorabool,3352,Leigh Creek,B Property and deception offences,B40 Theft,9,7,,-2
Greater Geelong,3215,North Geelong,C Drug offences,C30 Drug use and possession,9,16,,7
Nillumbik,3095,Eltham,D Public order and security offences,D10 Weapons and explosives offences,9,9,,0
Greater Geelong,3218,Manifold Heights,B Property and deception offences,B50 Deception,9,5,,-4
Bayside,3186,Brighton,D Public order and security offences,D30 Public nuisance offences,9,8,,-1
Greater Bendigo,3556,Jackass Flat,B Property and deception offences,B20 Property damage,9,4,,-5
Bass Coast,3995,North Wonthaggi,A Crimes against the person,Other crimes against the person,9,13,,4
Brimbank,3020,Sunshine West,D Public order and security offences,D20 Disorderly and offensive conduct,9,6,,-3
Brimbank,3020,Sunshine North,A Crimes against the person,A50 Robbery,9,14,,5
Port Phillip,3207,Port Melbourne,D Public order and security offences,D30 Public nuisance offences,9,11,,2
Port Phillip,3207,Port Melbourne,D Public order and security offences,D30 Public nuisance offences,9,7,,-2
West Wimmera,3318,Edenhope,E Justice procedures offences,E20 Breaches of orders,9,7,,-2
Bass Coast,3925,Cape Woolamai,A Crimes against the person,A20 Assault and related offences,9,13,,4
Latrobe,3842,Churchill,D Public order and security offences,D20 Disorderly and offensive conduct,9,3,,-6
Merri-bek,3055,Brunswick West,C Drug offences,C30 Drug use and possession,9,14,,5
South Gippsland,3950,Korumburra,C Drug offences,C30 Drug use and possession,9,7,,-2
Whitehorse,3130,Blackburn,C Drug offences,C30 Drug use and possession,9,14,,5
Wyndham,3211,Little River,B Property and deception offences,B30 Burglary/Break and enter,9,10,,1
Wyndham,3211,Little River,B Property and deception offences,B30 Burglary/Break and enter,9,2,,-7
Melton,3337,Melton,C Drug offences,C20 Cultivate or manufacture drugs,9,9,,0
Murrindindi,3714,Alexandra,B Property and deception offences,B50 Deception,9,7,,-2
East Gippsland,3875,Wy Yung,A Crimes against the person,Other crimes against the person,9,8,,-1
Bayside,3188,Hampton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,7,,-2
Moonee Valley,3041,Essendon Fields,A Crimes against the person,A20 Assault and related offences,9,7,,-2
Boroondara,3126,Canterbury,B Property and deception offences,B50 Deception,9,7,,-2
Wodonga,3690,West Wodonga,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,9,,0
Colac-Otway,3250,Elliminyt,B Property and deception offences,B50 Deception,9,,,
Melbourne,3207,Port Melbourne,D Public order and security offences,D10 Weapons and explosives offences,9,21,,12
Melbourne,3207,Port Melbourne,D Public order and security offences,D10 Weapons and explosives offences,9,2,,-7
Melton,3338,Cobblebank,B Property and deception offences,B30 Burglary/Break and enter,9,18,,9
Wyndham,3027,Williams Landing,A Crimes against the person,Other crimes against the person,9,14,,5
Kingston,3196,Bonbeach,C Drug offences,C30 Drug use and possession,9,4,,-5
Moonee Valley,3033,Keilor East,A Crimes against the person,Other crimes against the person,9,10,,1
Moonee Valley,3033,Keilor East,A Crimes against the person,Other crimes against the person,9,2,,-7
Yarra Ranges,3116,Chirnside Park,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,8,,-1
Macedon Ranges,3444,Kyneton,A Crimes against the person,Other crimes against the person,9,14,,5
East Gippsland,3875,Wy Yung,B Property and deception offences,B20 Property damage,9,4,,-5
Melton,3029,Truganina,B Property and deception offences,B50 Deception,9,62,,53
Melton,3029,Truganina,B Property and deception offences,B50 Deception,9,17,,8
Moyne,3284,Port Fairy,B Property and deception offences,B30 Burglary/Break and enter,9,1,,-8
Mornington Peninsula,3933,Moorooduc,B Property and deception offences,B30 Burglary/Break and enter,9,21,,12
Banyule,3088,St Helena,B Property and deception offences,B30 Burglary/Break and enter,9,2,,-7
Brimbank,3026,Derrimut,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,5,,-4
Melton,3337,Harkness,A Crimes against the person,A50 Robbery,9,5,,-4
Hobsons Bay,3012,Brooklyn,A Crimes against the person,A20 Assault and related offences,9,16,,7
Whittlesea,3757,Whittlesea,C Drug offences,C30 Drug use and possession,9,3,,-6
Corangamite,3266,Cobden,B Property and deception offences,B30 Burglary/Break and enter,9,3,,-6
Bass Coast,3992,Dalyston,A Crimes against the person,A20 Assault and related offences,9,7,,-2
Kingston,3169,Clayton South,D Public order and security offences,D10 Weapons and explosives offences,9,24,,15
Brimbank,3038,Taylors Lakes,E Justice procedures offences,E10 Justice procedures,9,21,,12
Hobsons Bay,3028,Seabrook,B Property and deception offences,B30 Burglary/Break and enter,9,15,,6
Monash,3148,Chadstone,C Drug offences,C30 Drug use and possession,9,9,,0
Knox,3179,Scoresby,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,7,,-2
Glenelg,3311,Casterton,A Crimes against the person,A20 Assault and related offences,9,7,,-2
Kingston,3189,Moorabbin,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,9,,0
Knox,3152,Wantirna South,D Public order and security offences,D30 Public nuisance offences,9,6,,-3
Gannawarra,3579,Kerang,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,11,,2
Boroondara,3146,Glen Iris,A Crimes against the person,Other crimes against the person,9,10,,1
Boroondara,3146,Glen Iris,A Crimes against the person,Other crimes against the person,9,8,,-1
Glen Eira,3163,Carnegie,D Public order and security offences,D10 Weapons and explosives offences,9,7,,-2
Melton,3029,Truganina,D Public order and security offences,D10 Weapons and explosives offences,9,12,,3
Melton,3029,Truganina,D Public order and security offences,D10 Weapons and explosives offences,9,7,,-2
Ballarat,3355,Mitchell Park,B Property and deception offences,B10 Arson,9,2,,-7
Greater Bendigo,3550,Quarry Hill,B Property and deception offences,B30 Burglary/Break and enter,9,15,,6
East Gippsland,3878,Eagle Point,A Crimes against the person,A20 Assault and related offences,9,6,,-3
Greater Bendigo,3550,Quarry Hill,A Crimes against the person,Other crimes against the person,9,4,,-5
Greater Dandenong,3175,Dandenong South,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,10,,1
Greater Bendigo,3555,Kangaroo Flat,D Public order and security offences,D20 Disorderly and offensive conduct,9,4,,-5
Port Phillip,3183,St Kilda East,C Drug offences,C30 Drug use and possession,9,8,,-1
Port Phillip,3183,St Kilda East,C Drug offences,C30 Drug use and possession,9,2,,-7
Knox,3179,Scoresby,A Crimes against the person,Other crimes against the person,9,12,,3
Wellington,3971,Yarram,A Crimes against the person,Other crimes against the person,9,9,,0
Surf Coast,3230,Anglesea,A Crimes against the person,A20 Assault and related offences,9,5,,-4
Hobsons Bay,3018,Altona,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,6,,-3
Melton,3427,Diggers Rest,A Crimes against the person,Other crimes against the person,9,2,,-7
Melton,3427,Diggers Rest,A Crimes against the person,Other crimes against the person,9,1,,-8
Greater Geelong,3215,Bell Post Hill,B Property and deception offences,B50 Deception,9,7,,-2
Murrindindi,3763,Kinglake,B Property and deception offences,B40 Theft,9,3,,-6
Murrindindi,3763,Kinglake,B Property and deception offences,B40 Theft,9,2,,-7
Whittlesea,3076,Epping,D Public order and security offences,D30 Public nuisance offences,9,9,,0
Yarra Ranges,3766,Kalorama,E Justice procedures offences,E20 Breaches of orders,9,9,,0
Yarra Ranges,3797,Three Bridges,E Justice procedures offences,E20 Breaches of orders,9,2,,-7
Casey,3806,Berwick,D Public order and security offences,D30 Public nuisance offences,9,11,,2
Mornington Peninsula,3942,Blairgowrie,B Property and deception offences,B30 Burglary/Break and enter,9,31,,22
Brimbank,3037,Delahey,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,11,,2
Banyule,3093,Lower Plenty,A Crimes against the person,Other crimes against the person,9,4,,-5
Whittlesea,3083,Bundoora,C Drug offences,C20 Cultivate or manufacture drugs,9,8,,-1
Whittlesea,3083,Bundoora,C Drug offences,C20 Cultivate or manufacture drugs,9,5,,-4
Whittlesea,3083,Bundoora,C Drug offences,C20 Cultivate or manufacture drugs,9,4,,-5
Port Phillip,3207,Port Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,9,14,,5
Port Phillip,3207,Port Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,9,6,,-3
Campaspe,3563,Lockington,B Property and deception offences,B40 Theft,9,4,,-5
Melbourne,3207,Port Melbourne,B Property and deception offences,B50 Deception,9,113,,104
Melbourne,3207,Port Melbourne,B Property and deception offences,B50 Deception,9,10,,1
Maribyrnong,3032,Maribyrnong,C Drug offences,C30 Drug use and possession,9,17,,8
Manningham,3106,Templestowe,C Drug offences,C30 Drug use and possession,9,3,,-6
Baw Baw,3824,Trafalgar,B Property and deception offences,B50 Deception,9,8,,-1
Moonee Valley,3041,Strathmore,A Crimes against the person,Other crimes against the person,9,10,,1
Manningham,3114,Park Orchards,A Crimes against the person,A20 Assault and related offences,9,3,,-6
Hobsons Bay,3028,Altona Meadows,A Crimes against the person,Other crimes against the person,9,19,,10
Bass Coast,3922,Ventnor,A Crimes against the person,A20 Assault and related offences,9,7,,-2
Boroondara,3127,Surrey Hills,B Property and deception offences,B20 Property damage,9,12,,3
Boroondara,3127,Surrey Hills,B Property and deception offences,B20 Property damage,9,11,,2
Moyne,3272,Mortlake,B Property and deception offences,B30 Burglary/Break and enter,9,5,,-4
Merri-bek,3044,Pascoe Vale South,A Crimes against the person,Other crimes against the person,9,12,,3
Casey,3806,Berwick,C Drug offences,C20 Cultivate or manufacture drugs,9,7,,-2
Bayside,3187,Brighton East,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,11,,2
Bayside,3187,Brighton East,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,1,,-8
Hume,3043,Gladstone Park,D Public order and security offences,D10 Weapons and explosives offences,9,5,,-4
Stonnington,3181,Windsor,C Drug offences,C10 Drug dealing and trafficking,9,,,
Mitchell,3658,Clonbinane,B Property and deception offences,B40 Theft,9,11,,2
Maroondah,3136,Croydon Hills,B Property and deception offences,B40 Theft,9,19,,10
Kingston,3197,Patterson Lakes,E Justice procedures offences,E10 Justice procedures,9,12,,3
Mornington Peninsula,3915,Hastings,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,9,,0
Kingston,3197,Patterson Lakes,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,13,,4
Brimbank,3020,Sunshine North,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,14,,5
Northern Grampians,3380,Stawell,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,9,,0
East Gippsland,3888,Orbost,A Crimes against the person,Other crimes against the person,9,10,,1
Macedon Ranges,3442,Woodend,B Property and deception offences,B50 Deception,9,13,,4
Port Phillip,3182,St Kilda West,B Property and deception offences,B50 Deception,9,7,,-2
Greater Geelong,3227,Barwon Heads,E Justice procedures offences,E20 Breaches of orders,9,7,,-2
Yarra Ranges,3797,Yarra Junction,A Crimes against the person,Other crimes against the person,9,8,,-1
Hobsons Bay,3015,Newport,D Public order and security offences,D10 Weapons and explosives offences,9,12,,3
Maribyrnong,3011,Seddon,A Crimes against the person,Other crimes against the person,9,4,,-5
Ballarat,3350,Brown Hill,A Crimes against the person,A20 Assault and related offences,9,14,,5
Hobsons Bay,3015,Newport,A Crimes against the person,Other crimes against the person,9,17,,8
Kingston,3190,Highett,E Justice procedures offences,E10 Justice procedures,9,7,,-2
Banyule,3088,Briar Hill,E Justice procedures offences,E20 Breaches of orders,9,17,,8
Whitehorse,3125,Burwood,C Drug offences,C30 Drug use and possession,9,10,,1
Whitehorse,3125,Burwood,C Drug offences,C30 Drug use and possession,9,2,,-7
Moyne,3282,Koroit,B Property and deception offences,B20 Property damage,9,15,,6
Nillumbik,3099,Hurstbridge,B Property and deception offences,B20 Property damage,9,15,,6
South Gippsland,3956,Venus Bay,B Property and deception offences,B40 Theft,9,6,,-3
Whitehorse,3128,Box Hill,A Crimes against the person,A50 Robbery,9,9,,0
Boroondara,3104,Balwyn North,E Justice procedures offences,E10 Justice procedures,9,12,,3
East Gippsland,3903,Swan Reach,A Crimes against the person,A20 Assault and related offences,9,6,,-3
Cardinia,3783,Gembrook,B Property and deception offences,B30 Burglary/Break and enter,9,18,,9
Bayside,3188,Hampton,A Crimes against the person,Other crimes against the person,9,12,,3
Yarra,3068,Clifton Hill,C Drug offences,C30 Drug use and possession,9,6,,-3
Cardinia,3984,Lang Lang,E Justice procedures offences,E20 Breaches of orders,9,12,,3
Moonee Valley,3032,Ascot Vale,D Public order and security offences,D30 Public nuisance offences,9,12,,3
Banyule,3087,Watsonia,C Drug offences,C30 Drug use and possession,9,7,,-2
Manningham,3113,Warrandyte,A Crimes against the person,Other crimes against the person,9,10,,1
Southern Grampians,3300,Hamilton,D Public order and security offences,D20 Disorderly and offensive conduct,9,18,,9
Yarra Ranges,3799,Millgrove,E Justice procedures offences,E20 Breaches of orders,9,8,,-1
Greater Geelong,3220,Newtown,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,4,,-5
Manningham,3113,Warrandyte,E Justice procedures offences,E20 Breaches of orders,9,15,,6
Mitchell,3753,Beveridge,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,14,,5
Mitchell,3753,Beveridge,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,1,,-8
Mornington Peninsula,3913,Tyabb,A Crimes against the person,Other crimes against the person,9,6,,-3
Banyule,3079,Ivanhoe East,E Justice procedures offences,E20 Breaches of orders,9,13,,4
Ararat,3377,Ararat,B Property and deception offences,B10 Arson,9,10,,1
Greater Geelong,3214,North Shore,E Justice procedures offences,E20 Breaches of orders,9,5,,-4
Cardinia,3807,Beaconsfield,B Property and deception offences,B50 Deception,9,24,,15
Ballarat,3350,Ballarat East,C Drug offences,C30 Drug use and possession,9,7,,-2
Casey,3975,Lynbrook,D Public order and security offences,D10 Weapons and explosives offences,9,12,,3
Greater Geelong,3216,Grovedale,E Justice procedures offences,E10 Justice procedures,9,15,,6
Knox,3156,Upper Ferntree Gully,B Property and deception offences,B30 Burglary/Break and enter,9,9,,0
Casey,3177,Eumemmerring,E Justice procedures offences,E10 Justice procedures,9,1,,-8
Melton,3336,Aintree,D Public order and security offences,D10 Weapons and explosives offences,9,6,,-3
Banyule,3081,Heidelberg Heights,A Crimes against the person,Other crimes against the person,9,10,,1
Campaspe,3623,Stanhope,B Property and deception offences,B40 Theft,9,14,,5
Hume,3059,Greenvale,E Justice procedures offences,E10 Justice procedures,9,12,,3
South Gippsland,3987,Nyora,A Crimes against the person,Other crimes against the person,9,3,,-6
Greater Bendigo,3558,Elmore,B Property and deception offences,B30 Burglary/Break and enter,9,10,,1
Maribyrnong,3012,Kingsville,B Property and deception offences,B20 Property damage,9,23,,14
Hume,3062,Somerton,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,3,,-6
Whittlesea,3083,Bundoora,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,16,,7
Whittlesea,3083,Bundoora,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,16,,7
Whittlesea,3083,Bundoora,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,3,,-6
Knox,3155,Boronia,A Crimes against the person,A50 Robbery,9,11,,2
Golden Plains,3351,Haddon,E Justice procedures offences,E20 Breaches of orders,9,4,,-5
Melton,3023,Caroline Springs,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,10,,1
Kingston,3197,Patterson Lakes,C Drug offences,C30 Drug use and possession,9,8,,-1
Glenelg,3304,Heywood,B Property and deception offences,B20 Property damage,9,11,,2
Port Phillip,3182,St Kilda West,B Property and deception offences,B30 Burglary/Break and enter,9,29,,20
Hume,3047,Broadmeadows,C Drug offences,C20 Cultivate or manufacture drugs,9,17,,8
Banyule,3079,Ivanhoe,C Drug offences,C30 Drug use and possession,9,12,,3
Moonee Valley,3041,Essendon North,B Property and deception offences,B30 Burglary/Break and enter,9,24,,15
Wellington,3858,Heyfield,B Property and deception offences,B20 Property damage,9,10,,1
Maribyrnong,3012,West Footscray,E Justice procedures offences,E10 Justice procedures,9,7,,-2
Campaspe,3620,Kyabram,C Drug offences,C30 Drug use and possession,9,29,,20
Maribyrnong,3032,Maribyrnong,D Public order and security offences,D30 Public nuisance offences,9,8,,-1
Brimbank,3021,Kealba,C Drug offences,C30 Drug use and possession,9,15,,6
Yarra Ranges,3767,Mount Dandenong,B Property and deception offences,B30 Burglary/Break and enter,9,14,,5
Cardinia,3814,Garfield,B Property and deception offences,B40 Theft,9,19,,10
Hume,3048,Coolaroo,C Drug offences,C30 Drug use and possession,9,18,,9
Mornington Peninsula,3941,Tootgarook,C Drug offences,C30 Drug use and possession,9,6,,-3
East Gippsland,3875,Bairnsdale,C Drug offences,C10 Drug dealing and trafficking,9,7,,-2
Darebin,3071,Thornbury,D Public order and security offences,D20 Disorderly and offensive conduct,9,4,,-5
Melbourne,3031,Kensington,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,16,,7
Greater Dandenong,3173,Keysborough,C Drug offences,C10 Drug dealing and trafficking,9,11,,2
Corangamite,3266,Cobden,B Property and deception offences,B20 Property damage,9,11,,2
Moonee Valley,3032,Travancore,B Property and deception offences,B30 Burglary/Break and enter,9,12,,3
Yarra,3078,Fairfield,B Property and deception offences,B30 Burglary/Break and enter,9,50,,41
Yarra,3078,Fairfield,B Property and deception offences,B30 Burglary/Break and enter,9,12,,3
Kingston,3195,Mordialloc,E Justice procedures offences,E10 Justice procedures,9,7,,-2
Melbourne,3053,Carlton,B Property and deception offences,B10 Arson,9,7,,-2
Glen Eira,3204,Bentleigh,A Crimes against the person,A50 Robbery,9,6,,-3
Casey,3978,Clyde,E Justice procedures offences,E10 Justice procedures,9,8,,-1
Hume,3064,Craigieburn,C Drug offences,C20 Cultivate or manufacture drugs,9,12,,3
Greater Geelong,3219,Thomson,C Drug offences,C30 Drug use and possession,9,8,,-1
Melton,3037,Hillside,A Crimes against the person,Other crimes against the person,9,10,,1
Melton,3037,Hillside,A Crimes against the person,Other crimes against the person,9,2,,-7
Bayside,3193,Black Rock,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,6,,-3
Ballarat,3350,Black Hill,A Crimes against the person,A20 Assault and related offences,9,8,,-1
Bayside,3186,Brighton,D Public order and security offences,D20 Disorderly and offensive conduct,9,9,,0
Greater Dandenong,3172,Springvale South,D Public order and security offences,D10 Weapons and explosives offences,9,16,,7
Hume,3049,Westmeadows,C Drug offences,C30 Drug use and possession,9,15,,6
Melton,3338,Brookfield,B Property and deception offences,B50 Deception,9,8,,-1
Greater Dandenong,3173,Keysborough,D Public order and security offences,D30 Public nuisance offences,9,6,,-3
Port Phillip,3207,Port Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,9,7,,-2
Port Phillip,3207,Port Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,9,3,,-6
Whittlesea,3750,Wollert,E Justice procedures offences,E10 Justice procedures,9,7,,-2
Kingston,3195,Mordialloc,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,16,,7
Brimbank,3020,Sunshine,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,10,,1
Monash,3168,Clayton,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,11,,2
Glen Eira,3163,Murrumbeena,D Public order and security offences,D10 Weapons and explosives offences,9,2,,-7
Kingston,3192,Cheltenham,D Public order and security offences,D30 Public nuisance offences,9,15,,6
Kingston,3192,Cheltenham,D Public order and security offences,D30 Public nuisance offences,9,2,,-7
Baw Baw,3824,Trafalgar,A Crimes against the person,Other crimes against the person,9,15,,6
Moonee Valley,3040,Aberfeldie,A Crimes against the person,A20 Assault and related offences,9,12,,3
Kingston,3196,Bonbeach,C Drug offences,C10 Drug dealing and trafficking,9,2,,-7
Greater Geelong,3219,Whittington,D Public order and security offences,D10 Weapons and explosives offences,9,7,,-2
Wellington,3850,Wurruk,B Property and deception offences,B30 Burglary/Break and enter,9,4,,-5
Ballarat,3351,Smythes Creek,B Property and deception offences,B30 Burglary/Break and enter,9,18,,9
Ballarat,3351,Smythes Creek,B Property and deception offences,B30 Burglary/Break and enter,9,5,,-4
Surf Coast,3232,Lorne,B Property and deception offences,B20 Property damage,9,7,,-2
Yarra Ranges,3765,Montrose,A Crimes against the person,Other crimes against the person,9,8,,-1
Stonnington,3142,Toorak,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,19,,10
Greater Geelong,3215,Drumcondra,B Property and deception offences,B40 Theft,9,21,,12
Mansfield,3722,Mansfield,B Property and deception offences,B50 Deception,9,8,,-1
Moira,3639,Barmah,B Property and deception offences,B40 Theft,9,3,,-6
Northern Grampians,3374,Great Western,B Property and deception offences,B40 Theft,9,12,,3
Northern Grampians,3374,Great Western,B Property and deception offences,B40 Theft,9,1,,-8
Monash,3150,Glen Waverley,D Public order and security offences,D20 Disorderly and offensive conduct,9,9,,0
Greater Shepparton,3618,Merrigum,B Property and deception offences,B40 Theft,9,17,,8
Greater Shepparton,3631,Shepparton North,E Justice procedures offences,E20 Breaches of orders,9,6,,-3
Whitehorse,3128,Box Hill,D Public order and security offences,D20 Disorderly and offensive conduct,9,7,,-2
Greater Geelong,3212,Lara,D Public order and security offences,D10 Weapons and explosives offences,9,27,,18
Manningham,3106,Templestowe,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",9,7,,-2
Wyndham,3030,Werribee,C Drug offences,C10 Drug dealing and trafficking,9,17,,8
Yarra Ranges,3793,Monbulk,A Crimes against the person,Other crimes against the person,9,4,,-5
Mitchell,3756,Wallan,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,11,,2
Merri-bek,3058,Coburg,B Property and deception offences,B10 Arson,9,11,,2
Greater Dandenong,3174,Noble Park,C Drug offences,C20 Cultivate or manufacture drugs,9,10,,1
Whitehorse,3131,Nunawading,E Justice procedures offences,E10 Justice procedures,9,7,,-2
Monash,3150,Glen Waverley,C Drug offences,C20 Cultivate or manufacture drugs,9,7,,-2
Whitehorse,3131,Forest Hill,C Drug offences,C30 Drug use and possession,9,16,,7
Swan Hill,3549,Robinvale,B Property and deception offences,B30 Burglary/Break and enter,9,8,,-1
Boroondara,3101,Kew,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,8,,-1
Northern Grampians,3380,Stawell,D Public order and security offences,D20 Disorderly and offensive conduct,9,11,,2
Darebin,3078,Fairfield,D Public order and security offences,D10 Weapons and explosives offences,9,1,,-8
Ballarat,3350,Soldiers Hill,A Crimes against the person,Other crimes against the person,9,6,,-3
Greater Geelong,3221,Ceres,B Property and deception offences,B40 Theft,9,2,,-7
Greater Geelong,3214,North Shore,B Property and deception offences,B20 Property damage,9,14,,5
Monash,3150,Wheelers Hill,C Drug offences,C30 Drug use and possession,9,11,,2
Greater Dandenong,3175,Dandenong North,B Property and deception offences,B10 Arson,9,11,,2
Wyndham,3024,Manor Lakes,B Property and deception offences,B50 Deception,9,18,,9
Kingston,3195,Parkdale,D Public order and security offences,D20 Disorderly and offensive conduct,9,,,
Baw Baw,3818,Drouin,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,8,,-1
Hepburn,3460,Daylesford,A Crimes against the person,Other crimes against the person,9,8,,-1
East Gippsland,3875,Bairnsdale,B Property and deception offences,B10 Arson,9,10,,1
Kingston,3197,Carrum,A Crimes against the person,Other crimes against the person,9,7,,-2
Towong,3707,Corryong,B Property and deception offences,B40 Theft,9,7,,-2
Murrindindi,3717,Yea,B Property and deception offences,B30 Burglary/Break and enter,9,5,,-4
Greater Bendigo,3523,Heathcote,E Justice procedures offences,E10 Justice procedures,9,2,,-7
Benalla,3672,Benalla,D Public order and security offences,D20 Disorderly and offensive conduct,9,5,,-4
Yarra Ranges,3139,Seville,E Justice procedures offences,E20 Breaches of orders,9,2,,-7
Gannawarra,3579,Kerang,C Drug offences,C30 Drug use and possession,9,10,,1
Mitchell,3758,Wandong,B Property and deception offences,B20 Property damage,9,7,,-2
