Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Metro Outer East,Montrose,E Justice procedures offences,E20 Breaches of orders,21,26,23.809523809523814,5
Metro Inner East,Hughesdale,B Property and deception offences,B50 Deception,21,11,-47.61904761904761,-10
Metro Outer West,Taylors Hill,B Property and deception offences,B50 Deception,21,13,-38.095238095238095,-8
Metro Inner West,Seabrook,A Crimes against the person,A20 Assault and related offences,21,13,-38.095238095238095,-8
Other,Korumburra,A Crimes against the person,Other crimes against the person,21,18,-14.28571428571429,-3
Other,Macedon,B Property and deception offences,B40 Theft,21,44,109.52380952380953,23
Other,Frankston North,B Property and deception offences,B50 Deception,21,13,-38.095238095238095,-8
,Tallarook,B Property and deception offences,B40 Theft,21,53,152.38095238095238,32
Other,Strathdale,B Property and deception offences,B30 Burglary/Break and enter,21,32,52.38095238095237,11
Metro Inner East,Ringwood East,B Property and deception offences,B50 Deception,21,17,-19.047619047619047,-4
Metro Inner North,Kingsbury,B Property and deception offences,B50 Deception,21,14,-33.333333333333336,-7
,Bunyip,B Property and deception offences,B40 Theft,21,20,-4.761904761904767,-1
Metro Outer North,Melbourne CBD Airport,B Property and deception offences,B50 Deception,21,24,14.28571428571428,3
Other,Drouin,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",21,28,33.33333333333333,7
Other,Hamilton,E Justice procedures offences,E10 Justice procedures,21,29,38.095238095238095,8
Metro Inner North,Watsonia North,B Property and deception offences,B40 Theft,21,27,28.57142857142858,6
Other,Campbells Creek,B Property and deception offences,B40 Theft,21,11,-47.61904761904761,-10
Other,Portarlington,A Crimes against the person,A20 Assault and related offences,21,17,-19.047619047619047,-4
Metro Inner West,Essendon,A Crimes against the person,Other crimes against the person,21,24,14.28571428571428,3
Metro Inner North,Montmorency,B Property and deception offences,B30 Burglary/Break and enter,21,16,-23.809523809523814,-5
Metro Outer North,Jacana,A Crimes against the person,A20 Assault and related offences,21,20,-4.761904761904767,-1
Metro Outer South,Eumemmerring,B Property and deception offences,B30 Burglary/Break and enter,21,11,-47.61904761904761,-10
Metro Inner North,Greensborough,A Crimes against the person,Other crimes against the person,21,28,33.33333333333333,7
Metro Inner North,Bundoora,A Crimes against the person,A50 Robbery,21,11,-47.61904761904761,-10
Metro Outer North,Campbellfield,D Public order and security offences,D10 Weapons and explosives offences,21,25,19.047619047619047,4
Metro Outer South,Emerald,B Property and deception offences,B30 Burglary/Break and enter,21,28,33.33333333333333,7
Metro Inner East,Mont Albert,A Crimes against the person,A20 Assault and related offences,21,13,-38.095238095238095,-8
,Attwood,B Property and deception offences,B40 Theft,21,52,147.61904761904762,31
Metro Inner East,Glen Iris,E Justice procedures offences,E10 Justice procedures,21,37,76.19047619047619,16
Metro Inner East,Box Hill North,E Justice procedures offences,E20 Breaches of orders,21,19,-9.523809523809524,-2
Metro Outer South,Rosebud,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",21,29,38.095238095238095,8
Other,Mount Clear,B Property and deception offences,B30 Burglary/Break and enter,21,14,-33.333333333333336,-7
Other,Paynesville,B Property and deception offences,B40 Theft,21,22,4.761904761904767,1
Metro Inner East,Boronia,C Drug offences,C20 Cultivate or manufacture drugs,21,22,4.761904761904767,1
Metro Outer North,Doreen,A Crimes against the person,Other crimes against the person,21,12,-42.85714285714286,-9
Metro Inner,Port Melbourne CBD,D Public order and security offences,D30 Public nuisance offences,21,18,-14.28571428571429,-3
Metro Inner East,Bulleen,A Crimes against the person,Other crimes against the person,21,10,-52.38095238095239,-11
Metro Outer South,Dingley Village,B Property and deception offences,B50 Deception,21,28,33.33333333333333,7
Metro Inner East,Malvern East,E Justice procedures offences,E10 Justice procedures,21,26,23.809523809523814,5
Metro Inner South,Glen Huntly,B Property and deception offences,B20 Property damage,21,30,42.85714285714286,9
Metro Inner East,Clayton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",21,14,-33.333333333333336,-7
Metro Inner East,Box Hill,E Justice procedures offences,E10 Justice procedures,21,18,-14.28571428571429,-3
Metro Inner North,Watsonia,A Crimes against the person,A20 Assault and related offences,21,37,76.19047619047619,16
Metro Outer South,Clyde,B Property and deception offences,B50 Deception,21,40,90.47619047619047,19
Other,Mooroopna,C Drug offences,C30 Drug use and possession,21,35,66.66666666666667,14
Metro Inner East,Malvern East,D Public order and security offences,D10 Weapons and explosives offences,21,28,33.33333333333333,7
Metro Outer North,Eltham,A Crimes against the person,Other crimes against the person,21,14,-33.333333333333336,-7
Metro Inner East,Box Hill South,B Property and deception offences,B50 Deception,21,15,-28.57142857142857,-6
Metro Outer South,Cranbourne,C Drug offences,C20 Cultivate or manufacture drugs,21,15,-28.57142857142857,-6
,Point Lonsdale,B Property and deception offences,B40 Theft,21,14,-33.333333333333336,-7
,Balnarring,B Property and deception offences,B40 Theft,21,55,161.9047619047619,34
Other,Lakes Entrance,A Crimes against the person,Other crimes against the person,21,17,-19.047619047619047,-4
Metro Inner East,Kew,C Drug offences,C30 Drug use and possession,21,17,-19.047619047619047,-4
Metro Inner South,Chelsea Heights,B Property and deception offences,B30 Burglary/Break and enter,21,22,4.761904761904767,1
Metro Inner West,Moonee Ponds,A Crimes against the person,Other crimes against the person,21,38,80.95238095238095,17
Other,Ballarat Central,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",21,24,14.28571428571428,3
Metro Outer West,Thornhill Park,E Justice procedures offences,E20 Breaches of orders,21,35,66.66666666666667,14
Metro Inner West,St Albans,A Crimes against the person,A80 Dangerous and negligent acts endangering people,21,29,38.095238095238095,8
Other,Winter Valley,E Justice procedures offences,E20 Breaches of orders,21,53,152.38095238095238,32
Metro Inner North,Preston,D Public order and security offences,D30 Public nuisance offences,21,21,0.0,0
Metro Outer West,Hillside,C Drug offences,C30 Drug use and possession,21,13,-38.095238095238095,-8
Other,Shepparton,D Public order and security offences,D30 Public nuisance offences,21,34,61.904761904761905,13
Metro Outer North,Melbourne CBD Airport,E Justice procedures offences,E20 Breaches of orders,21,13,-38.095238095238095,-8
Other,California Gully,E Justice procedures offences,E10 Justice procedures,21,15,-28.57142857142857,-6
Other,Hamilton,B Property and deception offences,B30 Burglary/Break and enter,21,23,9.523809523809534,2
,Wandana Heights,B Property and deception offences,B40 Theft,21,19,-9.523809523809524,-2
Other,Broadford,B Property and deception offences,B30 Burglary/Break and enter,21,27,28.57142857142858,6
Metro Inner North,Yallambie,B Property and deception offences,B40 Theft,21,21,0.0,0
Other,Bacchus Marsh,C Drug offences,C30 Drug use and possession,21,17,-19.047619047619047,-4
Other,Morwell,C Drug offences,C10 Drug dealing and trafficking,21,16,-23.809523809523814,-5
Other,Lakes Entrance,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",21,31,47.61904761904763,10
Other,Camperdown,E Justice procedures offences,E20 Breaches of orders,21,21,0.0,0
Metro Inner,Southbank,A Crimes against the person,A80 Dangerous and negligent acts endangering people,21,20,-4.761904761904767,-1
Metro Outer South,McCrae,B Property and deception offences,B30 Burglary/Break and enter,21,48,128.57142857142856,27
Metro Outer West,Hillside,B Property and deception offences,B50 Deception,21,23,9.523809523809534,2
Metro Inner West,Kensington,B Property and deception offences,B50 Deception,21,27,28.57142857142858,6
Metro Inner East,Oakleigh East,E Justice procedures offences,E20 Breaches of orders,21,19,-9.523809523809524,-2
Other,Eaglehawk,A Crimes against the person,Other crimes against the person,21,19,-9.523809523809524,-2
Metro Inner South,Ormond,B Property and deception offences,B20 Property damage,21,19,-9.523809523809524,-2
Metro Outer South,Dingley Village,B Property and deception offences,B20 Property damage,21,21,0.0,0
Metro Outer North,Roxburgh Park,D Public order and security offences,D10 Weapons and explosives offences,21,27,28.57142857142858,6
,Waterways,B Property and deception offences,B30 Burglary/Break and enter,21,17,-19.047619047619047,-4
Metro Outer East,Kilsyth South,B Property and deception offences,B40 Theft,21,28,33.33333333333333,7
Metro Outer North,Epping,B Property and deception offences,B10 Arson,20,32,60.00000000000001,12
Metro Inner West,Braybrook,C Drug offences,C30 Drug use and possession,20,23,14.999999999999991,3
Other,Yea,B Property and deception offences,B20 Property damage,20,10,-50.0,-10
Metro Inner East,Doncaster,C Drug offences,C30 Drug use and possession,20,27,35.00000000000001,7
Other,Epsom,A Crimes against the person,A20 Assault and related offences,20,22,10.000000000000009,2
Metro Inner West,Footscray,A Crimes against the person,A80 Dangerous and negligent acts endangering people,20,23,14.999999999999991,3
Other,South Geelong,B Property and deception offences,B20 Property damage,20,27,35.00000000000001,7
Metro Outer South,Noble Park North,A Crimes against the person,Other crimes against the person,20,21,5.000000000000004,1
Metro Inner East,Templestowe Lower,E Justice procedures offences,E20 Breaches of orders,20,26,30.000000000000004,6
Metro Inner West,Essendon,D Public order and security offences,D10 Weapons and explosives offences,20,35,75.0,15
Other,Shepparton,B Property and deception offences,B10 Arson,20,41,104.99999999999999,21
Other,Strathfieldsaye,E Justice procedures offences,E20 Breaches of orders,20,23,14.999999999999991,3
Metro Outer North,Campbellfield,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,19,-5.000000000000004,-1
Metro Inner West,Deer Park,D Public order and security offences,D10 Weapons and explosives offences,20,20,0.0,0
Other,Yarram,B Property and deception offences,B30 Burglary/Break and enter,20,23,14.999999999999991,3
Metro Inner South,Brighton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,18,-9.999999999999998,-2
Metro Outer South,Parkdale,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,10,-50.0,-10
Metro Inner East,Ferntree Gully,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,29,44.99999999999999,9
Metro Inner North,Greensborough,E Justice procedures offences,E10 Justice procedures,20,18,-9.999999999999998,-2
Metro Inner North,Hadfield,C Drug offences,C30 Drug use and possession,20,11,-44.99999999999999,-9
Metro Outer South,Rosebud,D Public order and security offences,D10 Weapons and explosives offences,20,18,-9.999999999999998,-2
Other,Cockatoo,B Property and deception offences,B30 Burglary/Break and enter,20,29,44.99999999999999,9
Other,St Albans Park,E Justice procedures offences,E20 Breaches of orders,20,32,60.00000000000001,12
Metro Outer South,Aspendale,A Crimes against the person,A20 Assault and related offences,20,27,35.00000000000001,7
Metro Inner East,The Basin,A Crimes against the person,A20 Assault and related offences,20,16,-19.999999999999996,-4
Metro Inner East,Box Hill,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,17,-15.000000000000002,-3
Metro Outer North,Lalor,A Crimes against the person,Other crimes against the person,20,18,-9.999999999999998,-2
Metro Inner North,Reservoir,D Public order and security offences,D20 Disorderly and offensive conduct,20,12,-40.0,-8
Metro Outer South,Koo Wee Rup,E Justice procedures offences,E20 Breaches of orders,20,26,30.000000000000004,6
Metro Inner North,Pascoe Vale,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,21,5.000000000000004,1
Metro Inner,Fitzroy North,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,13,-35.0,-7
Metro Inner North,Oak Park,A Crimes against the person,A20 Assault and related offences,20,29,44.99999999999999,9
Other,Leongatha,A Crimes against the person,Other crimes against the person,20,21,5.000000000000004,1
Metro Outer East,Warburton,B Property and deception offences,B40 Theft,20,48,140.0,28
Metro Outer West,Hoppers Crossing,E Justice procedures offences,E10 Justice procedures,20,24,19.999999999999996,4
Metro Outer South,Aspendale Gardens,B Property and deception offences,B30 Burglary/Break and enter,20,7,-65.0,-13
Metro Outer South,Dandenong South,E Justice procedures offences,E20 Breaches of orders,20,14,-30.000000000000004,-6
Metro Inner,South Yarra,A Crimes against the person,A50 Robbery,20,25,25.0,5
Metro Inner West,Albanvale,B Property and deception offences,B30 Burglary/Break and enter,20,15,-25.0,-5
Metro Outer West,Harkness,A Crimes against the person,Other crimes against the person,20,16,-19.999999999999996,-4
Other,Apollo Bay,B Property and deception offences,B40 Theft,20,11,-44.99999999999999,-9
Other,Lorne,B Property and deception offences,B40 Theft,20,31,55.00000000000001,11
Other,Lake Wendouree,E Justice procedures offences,E20 Breaches of orders,20,8,-60.0,-12
Metro Inner East,Knoxfield,E Justice procedures offences,E20 Breaches of orders,20,25,25.0,5
Other,Marshall,B Property and deception offences,B40 Theft,20,32,60.00000000000001,12
Metro Inner West,Essendon,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,16,-19.999999999999996,-4
Metro Inner North,Brunswick,D Public order and security offences,D30 Public nuisance offences,20,18,-9.999999999999998,-2
Metro Outer East,Warburton,A Crimes against the person,A20 Assault and related offences,20,14,-30.000000000000004,-6
Other,Ballan,B Property and deception offences,B30 Burglary/Break and enter,20,19,-5.000000000000004,-1
Metro Inner West,Ardeer,A Crimes against the person,A20 Assault and related offences,20,27,35.00000000000001,7
Metro Outer South,Skye,B Property and deception offences,B20 Property damage,20,26,30.000000000000004,6
Other,Strathfieldsaye,B Property and deception offences,B30 Burglary/Break and enter,20,17,-15.000000000000002,-3
Other,Torquay,D Public order and security offences,D20 Disorderly and offensive conduct,20,3,-85.0,-17
Metro Inner,Collingwood,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,23,14.999999999999991,3
Metro Inner North,Coburg,C Drug offences,C30 Drug use and possession,20,27,35.00000000000001,7
Other,Merbein,E Justice procedures offences,E20 Breaches of orders,20,13,-35.0,-7
Metro Outer South,Botanic Ridge,A Crimes against the person,A20 Assault and related offences,20,15,-25.0,-5
Metro Inner East,Warrandyte,B Property and deception offences,B40 Theft,20,37,85.00000000000001,17
Metro Inner South,Highett,A Crimes against the person,Other crimes against the person,20,8,-60.0,-12
Metro Inner East,Mulgrave,A Crimes against the person,Other crimes against the person,20,21,5.000000000000004,1
Metro Inner,Parkville,B Property and deception offences,B50 Deception,20,15,-25.0,-5
Other,Lara,A Crimes against the person,Other crimes against the person,20,29,44.99999999999999,9
Metro Outer North,Greenvale,C Drug offences,C30 Drug use and possession,20,23,14.999999999999991,3
Metro Inner North,Greensborough,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,17,-15.000000000000002,-3
,Charlemont,B Property and deception offences,B30 Burglary/Break and enter,20,26,30.000000000000004,6
Metro Inner East,Scoresby,B Property and deception offences,B50 Deception,20,15,-25.0,-5
Metro Inner North,Preston,D Public order and security offences,D20 Disorderly and offensive conduct,20,27,35.00000000000001,7
Metro Inner East,Ashburton,B Property and deception offences,B50 Deception,20,13,-35.0,-7
Metro Inner North,Heidelberg Heights,D Public order and security offences,D10 Weapons and explosives offences,20,21,5.000000000000004,1
Other,Frankston North,C Drug offences,C30 Drug use and possession,20,29,44.99999999999999,9
Metro Inner North,Ivanhoe East,B Property and deception offences,B30 Burglary/Break and enter,20,27,35.00000000000001,7
Other,Huntly,A Crimes against the person,A20 Assault and related offences,20,32,60.00000000000001,12
Metro Inner East,Oakleigh East,A Crimes against the person,A20 Assault and related offences,20,16,-19.999999999999996,-4
Metro Outer North,Westmeadows,B Property and deception offences,B20 Property damage,20,30,50.0,10
Metro Outer West,Burnside Heights,B Property and deception offences,B20 Property damage,20,12,-40.0,-8
Other,Clifton Springs,A Crimes against the person,A20 Assault and related offences,20,25,25.0,5
Other,Golden Square,C Drug offences,C30 Drug use and possession,20,18,-9.999999999999998,-2
Metro Outer West,Strathtulloh,B Property and deception offences,B30 Burglary/Break and enter,20,35,75.0,15
Other,Curlewis,B Property and deception offences,B20 Property damage,20,12,-40.0,-8
Metro Inner North,Kingsbury,B Property and deception offences,B30 Burglary/Break and enter,20,30,50.0,10
Other,Redan,A Crimes against the person,Other crimes against the person,20,14,-30.000000000000004,-6
Other,Benalla,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",20,14,-30.000000000000004,-6
Metro Inner East,Ferntree Gully,E Justice procedures offences,E10 Justice procedures,20,41,104.99999999999999,21
Other,Hamilton,B Property and deception offences,B50 Deception,19,19,0.0,0
Metro Outer East,Upwey,A Crimes against the person,A20 Assault and related offences,19,13,-31.57894736842105,-6
Metro Inner West,Ardeer,B Property and deception offences,B30 Burglary/Break and enter,19,16,-15.789473684210531,-3
Other,Heyfield,A Crimes against the person,A20 Assault and related offences,19,19,0.0,0
Other,East Geelong,B Property and deception offences,B50 Deception,19,9,-52.63157894736843,-10
Other,Trafalgar,B Property and deception offences,B30 Burglary/Break and enter,19,36,89.4736842105263,17
Other,Irymple,B Property and deception offences,B20 Property damage,19,11,-42.10526315789473,-8
Metro Outer South,Doveton,C Drug offences,C30 Drug use and possession,19,20,5.263157894736836,1
Other,Drouin,D Public order and security offences,D10 Weapons and explosives offences,19,26,36.8421052631579,7
Metro Inner,St Kilda,C Drug offences,C20 Cultivate or manufacture drugs,19,14,-26.315789473684216,-5
Metro Outer North,South Morang,C Drug offences,C30 Drug use and possession,19,20,5.263157894736836,1
Other,Kilmore,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",19,24,26.315789473684205,5
Other,Lancefield,B Property and deception offences,B40 Theft,19,37,94.73684210526316,18
Other,Clifton Springs,B Property and deception offences,B50 Deception,19,12,-36.8421052631579,-7
Metro Inner East,Templestowe Lower,B Property and deception offences,B20 Property damage,19,26,36.8421052631579,7
Other,Cobram,C Drug offences,C30 Drug use and possession,19,13,-31.57894736842105,-6
Metro Outer South,Moorabbin,E Justice procedures offences,E10 Justice procedures,19,22,15.789473684210531,3
Metro Inner North,Bundoora,A Crimes against the person,A80 Dangerous and negligent acts endangering people,19,16,-15.789473684210531,-3
Other,Spring Gully,B Property and deception offences,B20 Property damage,19,9,-52.63157894736843,-10
Other,Soldiers Hill,B Property and deception offences,B30 Burglary/Break and enter,19,16,-15.789473684210531,-3
Other,Kennington,A Crimes against the person,Other crimes against the person,19,14,-26.315789473684216,-5
Metro Outer North,Mernda,D Public order and security offences,D10 Weapons and explosives offences,19,17,-10.526315789473683,-2
Other,Churchill,A Crimes against the person,Other crimes against the person,19,26,36.8421052631579,7
Metro Outer South,Pakenham,A Crimes against the person,A50 Robbery,19,28,47.36842105263157,9
Metro Outer North,Epping,A Crimes against the person,A50 Robbery,19,29,52.63157894736843,10
Metro Outer South,Lyndhurst,E Justice procedures offences,E20 Breaches of orders,19,28,47.36842105263157,9
Other,Ballarat North,B Property and deception offences,B30 Burglary/Break and enter,19,26,36.8421052631579,7
Metro Outer West,Rockbank,E Justice procedures offences,E20 Breaches of orders,19,19,0.0,0
Metro Outer East,Lilydale,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",19,23,21.052631578947366,4
Other,Nagambie,E Justice procedures offences,E20 Breaches of orders,19,16,-15.789473684210531,-3
Metro Inner West,Niddrie,B Property and deception offences,B20 Property damage,19,19,0.0,0
Metro Inner South,Brighton,A Crimes against the person,Other crimes against the person,19,26,36.8421052631579,7
Metro Outer East,Lilydale,D Public order and security offences,D10 Weapons and explosives offences,19,23,21.052631578947366,4
Metro Inner,St Kilda,A Crimes against the person,A80 Dangerous and negligent acts endangering people,19,16,-15.789473684210531,-3
Metro Outer West,Melton South,B Property and deception offences,B50 Deception,19,34,78.94736842105263,15
Metro Outer West,Tarneit,A Crimes against the person,A80 Dangerous and negligent acts endangering people,19,26,36.8421052631579,7
Metro Outer North,Kalkallo,E Justice procedures offences,E20 Breaches of orders,19,38,100.0,19
Other,Warracknabeal,A Crimes against the person,A20 Assault and related offences,19,27,42.10526315789473,8
Metro Inner,South Melbourne CBD,E Justice procedures offences,E10 Justice procedures,19,27,42.10526315789473,8
Metro Inner South,Ormond,A Crimes against the person,A20 Assault and related offences,19,25,31.578947368421062,6
Other,Maryborough,B Property and deception offences,B50 Deception,19,27,42.10526315789473,8
Other,Golden Square,E Justice procedures offences,E10 Justice procedures,19,22,15.789473684210531,3
Metro Inner,Flemington,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",19,12,-36.8421052631579,-7
Metro Inner West,Sunshine West,E Justice procedures offences,E10 Justice procedures,19,16,-15.789473684210531,-3
Metro Inner East,Malvern,E Justice procedures offences,E20 Breaches of orders,19,15,-21.052631578947366,-4
Other,Yea,A Crimes against the person,A20 Assault and related offences,19,17,-10.526315789473683,-2
Metro Outer South,Pakenham,B Property and deception offences,B10 Arson,19,23,21.052631578947366,4
Metro Inner East,Boronia,E Justice procedures offences,E10 Justice procedures,19,20,5.263157894736836,1
Metro Inner West,Altona Meadows,C Drug offences,C30 Drug use and possession,19,18,-5.263157894736848,-1
Other,Long Gully,B Property and deception offences,B30 Burglary/Break and enter,19,27,42.10526315789473,8
Metro Outer West,Point Cook,A Crimes against the person,A50 Robbery,19,38,100.0,19
Other,Epsom,B Property and deception offences,B20 Property damage,19,24,26.315789473684205,5
Metro Outer East,Kilsyth,B Property and deception offences,B50 Deception,19,18,-5.263157894736848,-1
Metro Outer East,Yarra Junction,A Crimes against the person,A20 Assault and related offences,19,19,0.0,0
Metro Inner East,Vermont,B Property and deception offences,B50 Deception,19,13,-31.57894736842105,-6
Other,Belmont,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",19,13,-31.57894736842105,-6
Other,Mount Clear,A Crimes against the person,Other crimes against the person,19,6,-68.42105263157895,-13
Metro Outer North,Sunbury,D Public order and security offences,D20 Disorderly and offensive conduct,19,11,-42.10526315789473,-8
Other,Wurruk,B Property and deception offences,B40 Theft,19,19,0.0,0
Metro Inner North,Greensborough,D Public order and security offences,D10 Weapons and explosives offences,19,21,10.526315789473696,2
Metro Outer West,Rockbank,B Property and deception offences,B30 Burglary/Break and enter,19,32,68.42105263157893,13
Metro Inner East,Ringwood North,B Property and deception offences,B30 Burglary/Break and enter,19,30,57.89473684210527,11
Metro Outer South,Cheltenham,E Justice procedures offences,E10 Justice procedures,19,20,5.263157894736836,1
Metro Inner,Ripponlea,B Property and deception offences,B20 Property damage,19,9,-52.63157894736843,-10
Other,Portarlington,E Justice procedures offences,E20 Breaches of orders,19,13,-31.57894736842105,-6
Metro Outer South,Cranbourne North,D Public order and security offences,D10 Weapons and explosives offences,19,21,10.526315789473696,2
Metro Inner,Windsor,D Public order and security offences,D20 Disorderly and offensive conduct,19,9,-52.63157894736843,-10
Other,Maryborough,C Drug offences,C30 Drug use and possession,19,34,78.94736842105263,15
Metro Inner North,Oak Park,E Justice procedures offences,E20 Breaches of orders,19,19,0.0,0
Other,Maryborough,B Property and deception offences,B10 Arson,19,9,-52.63157894736843,-10
Metro Outer South,Eumemmerring,A Crimes against the person,A20 Assault and related offences,19,43,126.3157894736842,24
Other,Ararat,D Public order and security offences,D10 Weapons and explosives offences,19,30,57.89473684210527,11
Other,Morwell,D Public order and security offences,D30 Public nuisance offences,19,21,10.526315789473696,2
Other,Mount Duneed,B Property and deception offences,B50 Deception,19,14,-26.315789473684216,-5
Other,Canadian,B Property and deception offences,B30 Burglary/Break and enter,19,11,-42.10526315789473,-8
Metro Outer North,Greenvale,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",19,34,78.94736842105263,15
Metro Outer West,Burnside Heights,B Property and deception offences,B30 Burglary/Break and enter,19,9,-52.63157894736843,-10
Metro Inner,Elwood,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",19,19,0.0,0
Metro Outer North,Lalor,D Public order and security offences,D10 Weapons and explosives offences,19,29,52.63157894736843,10
Metro Outer North,Mernda,C Drug offences,C30 Drug use and possession,19,13,-31.57894736842105,-6
Metro Outer North,Meadow Heights,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",19,26,36.8421052631579,7
Metro Inner,Fairfield,B Property and deception offences,B50 Deception,19,27,42.10526315789473,8
Metro Inner West,Essendon,C Drug offences,C30 Drug use and possession,19,32,68.42105263157893,13
Other,Redan,E Justice procedures offences,E10 Justice procedures,19,15,-21.052631578947366,-4
Metro Outer West,Melton South,C Drug offences,C30 Drug use and possession,19,19,0.0,0
Metro Outer South,Crib Point,B Property and deception offences,B40 Theft,19,54,184.21052631578948,35
Metro Inner,South Wharf,B Property and deception offences,B30 Burglary/Break and enter,19,17,-10.526315789473683,-2
Other,Red Cliffs,A Crimes against the person,Other crimes against the person,19,20,5.263157894736836,1
Metro Outer South,Berwick,A Crimes against the person,A50 Robbery,19,15,-21.052631578947366,-4
Other,Wallan,E Justice procedures offences,E10 Justice procedures,19,20,5.263157894736836,1
Other,Rochester,E Justice procedures offences,E20 Breaches of orders,19,5,-73.6842105263158,-14
Other,Little River,E Justice procedures offences,E20 Breaches of orders,19,6,-68.42105263157895,-13
Other,Portland,A Crimes against the person,A80 Dangerous and negligent acts endangering people,19,13,-31.57894736842105,-6
Other,Broadford,A Crimes against the person,Other crimes against the person,19,15,-21.052631578947366,-4
Metro Inner East,Bulleen,B Property and deception offences,B50 Deception,19,17,-10.526315789473683,-2
Other,Trafalgar,E Justice procedures offences,E20 Breaches of orders,19,20,5.263157894736836,1
Other,Wodonga,A Crimes against the person,A80 Dangerous and negligent acts endangering people,19,32,68.42105263157893,13
Other,Highton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",19,14,-26.315789473684216,-5
Metro Outer South,Clarinda,B Property and deception offences,B30 Burglary/Break and enter,19,29,52.63157894736843,10
Metro Inner East,Clayton,E Justice procedures offences,E10 Justice procedures,19,21,10.526315789473696,2
Metro Outer South,Officer,C Drug offences,C30 Drug use and possession,19,17,-10.526315789473683,-2
Metro Inner,Abbotsford,C Drug offences,C30 Drug use and possession,19,21,10.526315789473696,2
Metro Outer West,Melton West,D Public order and security offences,D10 Weapons and explosives offences,19,32,68.42105263157893,13
Metro Inner East,Notting Hill,B Property and deception offences,B30 Burglary/Break and enter,19,29,52.63157894736843,10
,Coleraine,E Justice procedures offences,E20 Breaches of orders,19,11,-42.10526315789473,-8
Metro Inner North,Bellfield,A Crimes against the person,A20 Assault and related offences,19,26,36.8421052631579,7
Metro Inner,St Kilda,C Drug offences,C10 Drug dealing and trafficking,19,19,0.0,0
Metro Outer South,Doveton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",19,26,36.8421052631579,7
,Beaconsfield Upper,B Property and deception offences,B40 Theft,19,8,-57.89473684210527,-11
Other,Wurruk,B Property and deception offences,B20 Property damage,19,14,-26.315789473684216,-5
Metro Inner West,Keilor Park,A Crimes against the person,A20 Assault and related offences,19,16,-15.789473684210531,-3
Other,Wangaratta,C Drug offences,C10 Drug dealing and trafficking,19,14,-26.315789473684216,-5
Metro Inner South,Beaumaris,A Crimes against the person,A20 Assault and related offences,19,21,10.526315789473696,2
Metro Inner North,Watsonia,B Property and deception offences,B50 Deception,19,8,-57.89473684210527,-11
Other,Norlane,C Drug offences,C20 Cultivate or manufacture drugs,18,10,-44.44444444444444,-8
Other,Maryborough,E Justice procedures offences,E10 Justice procedures,18,31,72.22222222222223,13
Metro Inner,Fitzroy,E Justice procedures offences,E10 Justice procedures,18,14,-22.22222222222222,-4
Metro Inner South,Carnegie,A Crimes against the person,Other crimes against the person,18,25,38.888888888888886,7
Other,Mount Duneed,A Crimes against the person,A20 Assault and related offences,18,24,33.33333333333333,6
Other,Brown Hill,E Justice procedures offences,E20 Breaches of orders,18,25,38.888888888888886,7
Metro Outer South,Beaconsfield,B Property and deception offences,B20 Property damage,18,21,16.666666666666675,3
,Nicholson,E Justice procedures offences,E20 Breaches of orders,18,20,11.111111111111116,2
Other,St Leonards,B Property and deception offences,B30 Burglary/Break and enter,18,19,5.555555555555558,1
Metro Outer South,Mentone,D Public order and security offences,D10 Weapons and explosives offences,18,6,-66.66666666666667,-12
,Jan Juc,B Property and deception offences,B40 Theft,18,28,55.55555555555556,10
Metro Inner North,Rosanna,A Crimes against the person,A20 Assault and related offences,18,19,5.555555555555558,1
Metro Outer South,Rosebud,D Public order and security offences,D30 Public nuisance offences,18,26,44.44444444444444,8
Other,Broadford,B Property and deception offences,B20 Property damage,18,40,122.22222222222223,22
Other,Kyabram,E Justice procedures offences,E10 Justice procedures,18,11,-38.888888888888886,-7
