Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Metro Outer South,Berwick,A Crimes against the person,A20 Assault and related offences,320,284,-11.250000000000004,-36
Other,Sale,E Justice procedures offences,E20 Breaches of orders,320,380,18.75,60
Metro Inner East,Blackburn,B Property and deception offences,B40 Theft,319,461,44.51410658307211,142
Metro Inner,St Kilda,E Justice procedures offences,E20 Breaches of orders,318,174,-45.28301886792453,-144
Other,Wangaratta,E Justice procedures offences,E20 Breaches of orders,316,289,-8.544303797468356,-27
Metro Inner West,Maidstone,B Property and deception offences,B40 Theft,312,391,25.320512820512818,79
Metro Inner,Albert Park,B Property and deception offences,B40 Theft,311,363,16.7202572347267,52
Metro Inner,East Melbourne CBD,B Property and deception offences,B40 Theft,309,502,62.45954692556634,193
Metro Inner,South Yarra,B Property and deception offences,B30 Burglary/Break and enter,308,424,37.66233766233766,116
Metro Outer South,Narre Warren South,B Property and deception offences,B40 Theft,308,384,24.675324675324674,76
Metro Inner North,Reservoir,B Property and deception offences,B20 Property damage,308,339,10.064935064935066,31
Metro Inner East,Burwood,B Property and deception offences,B40 Theft,307,402,30.944625407166114,95
Metro Inner South,Caulfield North,B Property and deception offences,B40 Theft,306,326,6.5359477124183,20
Metro Inner North,Preston,B Property and deception offences,B20 Property damage,306,405,32.35294117647059,99
Metro Inner,Windsor,B Property and deception offences,B40 Theft,305,452,48.19672131147541,147
Other,Dandenong,B Property and deception offences,B30 Burglary/Break and enter,305,411,34.754098360655725,106
Metro Outer South,Hastings,B Property and deception offences,B40 Theft,305,482,58.03278688524589,177
Other,Warragul,E Justice procedures offences,E20 Breaches of orders,304,265,-12.828947368421051,-39
Metro Outer West,Melton West,B Property and deception offences,B40 Theft,304,409,34.539473684210535,105
Metro Inner West,Footscray,B Property and deception offences,B20 Property damage,303,311,2.64026402640265,8
Other,Bairnsdale,E Justice procedures offences,E20 Breaches of orders,300,328,9.333333333333327,28
Other,Norlane,E Justice procedures offences,E20 Breaches of orders,300,271,-9.666666666666668,-29
Metro Inner North,Preston,B Property and deception offences,B50 Deception,300,293,-2.3333333333333317,-7
Metro Outer East,Lilydale,B Property and deception offences,B40 Theft,299,457,52.8428093645485,158
Metro Outer South,Cranbourne,A Crimes against the person,A20 Assault and related offences,299,374,25.083612040133787,75
Metro Outer West,Laverton North,B Property and deception offences,B40 Theft,298,374,25.503355704697995,76
Other,Sale,B Property and deception offences,B40 Theft,298,555,86.24161073825502,257
Metro Inner North,Ivanhoe,B Property and deception offences,B40 Theft,297,629,111.78451178451176,332
Other,Bairnsdale,B Property and deception offences,B40 Theft,296,448,51.35135135135136,152
Other,Warrnambool,A Crimes against the person,A20 Assault and related offences,296,348,17.567567567567565,52
Metro Inner North,Preston,B Property and deception offences,B30 Burglary/Break and enter,295,556,88.47457627118645,261
Metro Outer South,Doveton,B Property and deception offences,B40 Theft,291,444,52.57731958762886,153
Metro Inner North,Reservoir,B Property and deception offences,B30 Burglary/Break and enter,291,462,58.762886597938135,171
Metro Inner North,Coburg North,B Property and deception offences,B40 Theft,289,493,70.58823529411764,204
Metro Inner North,Preston,A Crimes against the person,A20 Assault and related offences,289,339,17.301038062283737,50
Metro Inner East,Armadale,B Property and deception offences,B40 Theft,286,314,9.790209790209792,28
Metro Outer South,Moorabbin,B Property and deception offences,B40 Theft,286,368,28.671328671328666,82
Metro Inner,South Melbourne CBD,B Property and deception offences,B30 Burglary/Break and enter,284,340,19.718309859154925,56
Metro Inner East,Toorak,B Property and deception offences,B40 Theft,283,365,28.97526501766785,82
Other,Morwell,B Property and deception offences,B20 Property damage,278,349,25.539568345323737,71
Metro Inner East,Chadstone,B Property and deception offences,B40 Theft,277,389,40.43321299638989,112
Metro Outer West,Werribee,B Property and deception offences,B30 Burglary/Break and enter,277,472,70.3971119133574,195
Other,Dandenong North,B Property and deception offences,B40 Theft,276,453,64.13043478260869,177
Other,Morwell,B Property and deception offences,B30 Burglary/Break and enter,276,274,-0.7246376811594235,-2
Metro Outer South,Moorabbin,E Justice procedures offences,E20 Breaches of orders,276,267,-3.2608695652173947,-9
Metro Outer South,Cranbourne West,B Property and deception offences,B40 Theft,275,429,56.00000000000001,154
Metro Inner South,Brighton East,B Property and deception offences,B40 Theft,274,298,8.75912408759123,24
Metro Inner South,Elsternwick,B Property and deception offences,B40 Theft,274,367,33.941605839416056,93
Metro Outer South,Cranbourne East,B Property and deception offences,B40 Theft,273,330,20.879120879120872,57
Other,Moe,E Justice procedures offences,E20 Breaches of orders,272,286,5.147058823529416,14
Metro Inner,St Kilda East,B Property and deception offences,B40 Theft,272,311,14.338235294117641,39
Other,Lara,B Property and deception offences,B40 Theft,271,424,56.45756457564575,153
Metro Outer South,Cranbourne,E Justice procedures offences,E20 Breaches of orders,271,262,-3.3210332103321027,-9
Other,Moe,B Property and deception offences,B40 Theft,271,446,64.57564575645756,175
Metro Outer North,Roxburgh Park,B Property and deception offences,B40 Theft,270,298,10.370370370370363,28
Metro Inner South,Hampton,B Property and deception offences,B40 Theft,269,355,31.97026022304832,86
Other,Noble Park,E Justice procedures offences,E20 Breaches of orders,269,204,-24.1635687732342,-65
Metro Outer South,Pakenham,B Property and deception offences,B20 Property damage,268,319,19.02985074626866,51
Metro Outer North,Mickleham,B Property and deception offences,B40 Theft,268,455,69.77611940298507,187
Metro Outer West,Wyndham Vale,E Justice procedures offences,E20 Breaches of orders,268,220,-17.910447761194025,-48
Other,Springvale,E Justice procedures offences,E20 Breaches of orders,268,115,-57.089552238805965,-153
Metro Outer West,Melton South,B Property and deception offences,B40 Theft,267,379,41.94756554307115,112
Other,Horsham,A Crimes against the person,A20 Assault and related offences,267,261,-2.2471910112359605,-6
Metro Outer West,Wyndham Vale,B Property and deception offences,B20 Property damage,266,250,-6.015037593984962,-16
Metro Inner East,Doncaster,B Property and deception offences,B30 Burglary/Break and enter,265,265,0.0,0
Metro Outer North,Lalor,B Property and deception offences,B40 Theft,265,447,68.67924528301887,182
Metro Outer South,Narre Warren,A Crimes against the person,A20 Assault and related offences,262,286,9.160305343511443,24
Metro Inner East,Bayswater,B Property and deception offences,B40 Theft,262,448,70.99236641221374,186
Metro Inner,Docklands,A Crimes against the person,A20 Assault and related offences,262,372,41.984732824427475,110
Other,Langwarrin,B Property and deception offences,B40 Theft,261,351,34.48275862068966,90
Metro Inner,Carlton North,B Property and deception offences,B40 Theft,260,264,1.538461538461533,4
Metro Inner West,St Albans,E Justice procedures offences,E20 Breaches of orders,259,204,-21.235521235521237,-55
Metro Outer West,Hoppers Crossing,A Crimes against the person,A20 Assault and related offences,259,256,-1.158301158301156,-3
Metro Inner East,Burwood East,B Property and deception offences,B40 Theft,258,426,65.11627906976744,168
Metro Inner East,Malvern,B Property and deception offences,B40 Theft,258,322,24.8062015503876,64
Metro Inner East,Malvern East,B Property and deception offences,B30 Burglary/Break and enter,258,278,7.751937984496116,20
Metro Outer North,Sunbury,E Justice procedures offences,E20 Breaches of orders,258,206,-20.155038759689926,-52
Metro Outer South,Clyde,B Property and deception offences,B40 Theft,255,365,43.13725490196079,110
Other,Grovedale,B Property and deception offences,B40 Theft,252,357,41.66666666666667,105
Metro Outer North,Broadmeadows,A Crimes against the person,A20 Assault and related offences,252,235,-6.746031746031744,-17
Other,Noble Park,A Crimes against the person,A20 Assault and related offences,252,261,3.571428571428581,9
Metro Inner East,Doncaster East,B Property and deception offences,B40 Theft,251,336,33.86454183266932,85
